drawing_key,split,phase,normalized_json_path,topology_json_path,status,node_count,edge_count,candidate_segment_count,net_count,topology_ready,largest_net_edges,isolated_edge_count,isolated_edge_ratio,largest_net_edge_ratio,skipped_short_segments,skipped_same_node_segments,graph_bbox,edge_type_count_json,effective_endpoint_tolerance,quality_flags,topology_review_label,topology_review_comment,topology_reviewed,topology_v0_accepted,topology_v1_candidate,topology_exclude_reason
_P2_staging/移动变电所 (gb4728_11_2.12-1),train,P2,outputs/normalized_geometry/_P2_staging/移动变电所 (gb4728_11_2.12-1).normalized.json,outputs/topology_graph/_P2_staging/移动变电所 (gb4728_11_2.12-1).topology.v0.json,ok,0,0,0,0,False,0,0,0.0,0.0,0,0,,{},0.0038,no_edges;not_topology_ready,bad_geometry,,True,False,False,not_topology_ready
_P2_staging/运行的移动变电站,test,P2,outputs/normalized_geometry/_P2_staging/运行的移动变电站.normalized.json,outputs/topology_graph/_P2_staging/运行的移动变电站.topology.v0.json,ok,0,0,0,0,False,0,0,0.0,0.0,0,0,,{},0.0078,no_edges;not_topology_ready,bad_geometry,,True,False,False,not_topology_ready
_P3_staging_batch1/02(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(一)),test,P3,outputs/normalized_geometry/_P3_staging_batch1/02(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(一)).normalized.json,outputs/topology_graph/_P3_staging_batch1/02(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(一)).topology.v0.json,ok,582,311,311,277,True,4,256,0.8232,0.0129,0,0,"42.9216,41.5686,389.0447,237.8934","{""LINE"": 174, ""LWPOLYLINE"": 137}",0.2329,high_isolated_ratio,bad_geometry,,True,False,False,bad_geometry
_P3_staging_batch1/03(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(二)),train,P3,outputs/normalized_geometry/_P3_staging_batch1/03(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(二)).normalized.json,outputs/topology_graph/_P3_staging_batch1/03(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(二)).topology.v0.json,ok,562,313,313,271,True,14,251,0.8019,0.0447,0,0,"28.6252,45.7751,331.3982,260.5736","{""LINE"": 295, ""LWPOLYLINE"": 18}",0.2416,high_isolated_ratio,bad_geometry,,True,False,False,bad_geometry
_P3_staging_batch1/04(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(一)),test,P3,outputs/normalized_geometry/_P3_staging_batch1/04(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(一)).normalized.json,outputs/topology_graph/_P3_staging_batch1/04(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(一)).topology.v0.json,ok,582,311,311,277,True,4,256,0.8232,0.0129,0,0,"42.9216,41.5686,389.0447,237.8934","{""LINE"": 174, ""LWPOLYLINE"": 137}",0.2329,high_isolated_ratio,bad_geometry,,True,False,False,bad_geometry
_P3_staging_batch1/04(RCS-941A背面接线图(二)),train,P3,outputs/normalized_geometry/_P3_staging_batch1/04(RCS-941A背面接线图(二)).normalized.json,outputs/topology_graph/_P3_staging_batch1/04(RCS-941A背面接线图(二)).topology.v0.json,ok,492,263,263,236,True,7,228,0.8669,0.0266,0,0,"45.1094,24.979,375.0858,279.9202","{""LINE"": 232, ""LWPOLYLINE"": 31}",0.5357,high_isolated_ratio,bad_geometry,,True,False,False,bad_geometry
_P3_staging_batch1/04(RCS-9702A背面接线图(二)),train,P3,outputs/normalized_geometry/_P3_staging_batch1/04(RCS-9702A背面接线图(二)).normalized.json,outputs/topology_graph/_P3_staging_batch1/04(RCS-9702A背面接线图(二)).topology.v0.json,ok,568,302,302,275,True,7,265,0.8775,0.0232,0,0,"46.1523,15.6695,381.1523,277.4057","{""LINE"": 290, ""LWPOLYLINE"": 12}",0.7848,high_isolated_ratio,bad_geometry,,True,False,False,bad_geometry
_P3_staging_batch1/04(RCS-9705A背面接线图(二) ),train,P3,outputs/normalized_geometry/_P3_staging_batch1/04(RCS-9705A背面接线图(二) ).normalized.json,outputs/topology_graph/_P3_staging_batch1/04(RCS-9705A背面接线图(二) ).topology.v0.json,ok,496,261,261,242,True,14,240,0.9195,0.0536,0,0,"33.1357,84.5456,373.7722,259.223","{""LINE"": 249, ""LWPOLYLINE"": 12}",0.4221,high_isolated_ratio,bad_geometry,,True,False,False,bad_geometry
_P3_staging_batch1/04(RCS-9705A背面接线图(二)),val,P3,outputs/normalized_geometry/_P3_staging_batch1/04(RCS-9705A背面接线图(二)).normalized.json,outputs/topology_graph/_P3_staging_batch1/04(RCS-9705A背面接线图(二)).topology.v0.json,ok,457,245,245,221,True,14,216,0.8816,0.0571,0,0,"-304.8697,32.7483,5.1327,165.3296","{""LINE"": 229, ""LWPOLYLINE"": 16}",0.516,high_isolated_ratio,bad_geometry,,True,False,False,bad_geometry
_P3_staging_batch1/04(RCS-9794背面接线图),train,P3,outputs/normalized_geometry/_P3_staging_batch1/04(RCS-9794背面接线图).normalized.json,outputs/topology_graph/_P3_staging_batch1/04(RCS-9794背面接线图).topology.v0.json,ok,380,206,206,182,True,4,174,0.8447,0.0194,0,0,"6.5082,86.9288,377.8767,265.3019","{""LINE"": 202, ""LWPOLYLINE"": 4}",0.2322,high_isolated_ratio,bad_geometry,,True,False,False,bad_geometry
_P3_staging_batch1/05(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(二)),train,P3,outputs/normalized_geometry/_P3_staging_batch1/05(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(二)).normalized.json,outputs/topology_graph/_P3_staging_batch1/05(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(二)).topology.v0.json,ok,562,313,313,271,True,14,251,0.8019,0.0447,0,0,"20.0742,46.828,331.3982,265.3308","{""LINE"": 295, ""LWPOLYLINE"": 18}",0.2429,high_isolated_ratio,bad_geometry,,True,False,False,bad_geometry
_P3_staging_batch1/05(RCS-9681B背面接线图(二)),train,P3,outputs/normalized_geometry/_P3_staging_batch1/05(RCS-9681B背面接线图(二)).normalized.json,outputs/topology_graph/_P3_staging_batch1/05(RCS-9681B背面接线图(二)).topology.v0.json,ok,294,153,153,144,True,7,142,0.9281,0.0458,0,0,"39.1352,124.067,367.7081,255.9617","{""LINE"": 1, ""LWPOLYLINE"": 152}",0.6438,high_isolated_ratio,bad_geometry,,True,False,False,bad_geometry
_P3_staging_batch1/06(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(一)),train,P3,outputs/normalized_geometry/_P3_staging_batch1/06(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(一)).normalized.json,outputs/topology_graph/_P3_staging_batch1/06(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(一)).topology.v0.json,ok,582,311,311,277,True,4,256,0.8232,0.0129,0,0,"42.9216,41.5686,389.0447,237.8934","{""LINE"": 174, ""LWPOLYLINE"": 137}",0.2329,high_isolated_ratio,bad_geometry,,True,False,False,bad_geometry
_P3_staging_batch1/06(RCS-9702A背面接线图(四)),train,P3,outputs/normalized_geometry/_P3_staging_batch1/06(RCS-9702A背面接线图(四)).normalized.json,outputs/topology_graph/_P3_staging_batch1/06(RCS-9702A背面接线图(四)).topology.v0.json,ok,568,302,302,275,True,7,265,0.8775,0.0232,0,0,"-95.9566,-202.9755,239.0434,58.7606","{""LINE"": 290, ""LWPOLYLINE"": 12}",0.8012,high_isolated_ratio,bad_geometry,,True,False,False,bad_geometry
_P3_staging_batch1/06(RCS-9703A背面接线图( 二) ),train,P3,outputs/normalized_geometry/_P3_staging_batch1/06(RCS-9703A背面接线图( 二) ).normalized.json,outputs/topology_graph/_P3_staging_batch1/06(RCS-9703A背面接线图( 二) ).topology.v0.json,ok,614,323,323,299,True,7,294,0.9102,0.0217,0,0,"28.1126,31.0301,363.1126,277.316","{""LINE"": 311, ""LWPOLYLINE"": 12}",0.3615,high_isolated_ratio,bad_geometry,,True,False,False,bad_geometry
_P3_staging_batch1/06(RCS-9705A背面接线图(二)),train,P3,outputs/normalized_geometry/_P3_staging_batch1/06(RCS-9705A背面接线图(二)).normalized.json,outputs/topology_graph/_P3_staging_batch1/06(RCS-9705A背面接线图(二)).topology.v0.json,ok,458,243,243,221,True,14,218,0.8971,0.0576,0,0,"41.3731,104.755,351.9444,237.3363","{""LINE"": 227, ""LWPOLYLINE"": 16}",0.3413,high_isolated_ratio,bad_geometry,,True,False,False,bad_geometry
_P3_staging_batch1/07(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(二)),train,P3,outputs/normalized_geometry/_P3_staging_batch1/07(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(二)).normalized.json,outputs/topology_graph/_P3_staging_batch1/07(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(二)).topology.v0.json,ok,562,313,313,271,True,14,251,0.8019,0.0447,0,0,"20.0742,39.3077,331.3982,257.1187","{""LINE"": 295, ""LWPOLYLINE"": 18}",0.2406,high_isolated_ratio,bad_geometry,,True,False,False,bad_geometry
_P3_staging_batch1/11(RCS-9661B背面接线图(四)),val,P3,outputs/normalized_geometry/_P3_staging_batch1/11(RCS-9661B背面接线图(四)).normalized.json,outputs/topology_graph/_P3_staging_batch1/11(RCS-9661B背面接线图(四)).topology.v0.json,ok,440,242,242,210,True,7,196,0.8099,0.0289,0,0,"36.2351,70.8724,362.8388,245.361","{""LINE"": 62, ""LWPOLYLINE"": 180}",0.2238,high_isolated_ratio,bad_geometry,,True,False,False,bad_geometry
_P3_staging_batch1/QA-D401-04(10kV线路开关柜端子排图(F2-F10)),train,P3,outputs/normalized_geometry/_P3_staging_batch1/QA-D401-04(10kV线路开关柜端子排图(F2-F10)).normalized.json,outputs/topology_graph/_P3_staging_batch1/QA-D401-04(10kV线路开关柜端子排图(F2-F10)).topology.v0.json,ok,616,333,333,290,True,7,268,0.8048,0.021,0,0,"0.0,83.8747,587.2196,277.0","{""LINE"": 292, ""LWPOLYLINE"": 41}",0.6534,high_isolated_ratio,bad_geometry,,True,False,False,bad_geometry
_P3_staging_batch1/灭磁单元电气接线图(II),train,P3,outputs/normalized_geometry/_P3_staging_batch1/灭磁单元电气接线图(II).normalized.json,outputs/topology_graph/_P3_staging_batch1/灭磁单元电气接线图(II).topology.v0.json,ok,473,254,254,227,True,4,216,0.8504,0.0157,0,0,"-9.8498,0.0663,-1.7431,11.5161","{""LINE"": 246, ""LWPOLYLINE"": 8}",0.007,high_isolated_ratio,bad_geometry,,True,False,False,bad_geometry
_P3_staging_batch2/1号炉PLC柜端子外部接线图2,train,P3,outputs/normalized_geometry/_P3_staging_batch2/1号炉PLC柜端子外部接线图2.normalized.json,outputs/topology_graph/_P3_staging_batch2/1号炉PLC柜端子外部接线图2.topology.v0.json,ok,200,107,107,94,True,8,89,0.8318,0.0748,0,0,"5.2319,-5.2401,477.1897,297.8884","{""LINE"": 103, ""LWPOLYLINE"": 4}",0.2805,high_isolated_ratio,bad_geometry,,True,False,False,bad_geometry
_P3_staging_batch2/1号炉PLC柜端子外部接线图3,train,P3,outputs/normalized_geometry/_P3_staging_batch2/1号炉PLC柜端子外部接线图3.normalized.json,outputs/topology_graph/_P3_staging_batch2/1号炉PLC柜端子外部接线图3.topology.v0.json,ok,202,105,105,98,True,5,96,0.9143,0.0476,0,0,"5.2319,-5.2401,477.1897,297.8884","{""LINE"": 101, ""LWPOLYLINE"": 4}",0.2805,high_isolated_ratio,bad_geometry,,True,False,False,bad_geometry
_P3_staging_batch2/1号炉氧枪柜端子外部接线图2,train,P3,outputs/normalized_geometry/_P3_staging_batch2/1号炉氧枪柜端子外部接线图2.normalized.json,outputs/topology_graph/_P3_staging_batch2/1号炉氧枪柜端子外部接线图2.topology.v0.json,ok,240,128,128,113,True,4,106,0.8281,0.0312,0,0,"5.2319,-5.2401,477.1897,297.8884","{""LINE"": 124, ""LWPOLYLINE"": 4}",0.2805,high_isolated_ratio,bad_geometry,,True,False,False,bad_geometry
_P3_staging_batch2/开关柜底座及基础图,train,P3,outputs/normalized_geometry/_P3_staging_batch2/开关柜底座及基础图.normalized.json,outputs/topology_graph/_P3_staging_batch2/开关柜底座及基础图.topology.v0.json,ok,0,0,0,0,False,0,0,0.0,0.0,0,0,,{},1.0,no_edges;not_topology_ready,bad_geometry,,True,False,False,not_topology_ready
_P3_staging_batch2/非电量保护单元端子排图,val,P3,outputs/normalized_geometry/_P3_staging_batch2/非电量保护单元端子排图.normalized.json,outputs/topology_graph/_P3_staging_batch2/非电量保护单元端子排图.topology.v0.json,ok,122,202,202,12,True,180,7,0.0347,0.8911,0,0,"113.9509,-2716.7262,533.9509,-2419.7262","{""LINE"": 9, ""LWPOLYLINE"": 193}",1.0,dominant_component,bad_geometry,,True,False,False,bad_geometry
_P3_staging_batch3/PLP01-54线路保护柜端子排接线示意图(B066-500-2703)wm666.taobao.com,train,P3,outputs/normalized_geometry/_P3_staging_batch3/PLP01-54线路保护柜端子排接线示意图(B066-500-2703)wm666.taobao.com.normalized.json,outputs/topology_graph/_P3_staging_batch3/PLP01-54线路保护柜端子排接线示意图(B066-500-2703)wm666.taobao.com.topology.v0.json,ok,1236,683,683,578,True,14,555,0.8126,0.0205,0,0,"15.5922,-325.6871,638.2319,336.3799","{""LINE"": 651, ""LWPOLYLINE"": 32}",0.5022,high_isolated_ratio,bad_geometry,,True,False,False,bad_geometry
_P3_staging_batch3/PLP02-29SP型保护柜端子排接线示意图(B066-500-2608)wm666.taobao.com,train,P3,outputs/normalized_geometry/_P3_staging_batch3/PLP02-29SP型保护柜端子排接线示意图(B066-500-2608)wm666.taobao.com.normalized.json,outputs/topology_graph/_P3_staging_batch3/PLP02-29SP型保护柜端子排接线示意图(B066-500-2608)wm666.taobao.com.topology.v0.json,ok,2574,1428,1432,1211,True,48,1172,0.8207,0.0336,0,4,"13.4343,-312.8077,1198.6863,248.7188","{""LINE"": 1336, ""LWPOLYLINE"": 92}",1.0,high_isolated_ratio,bad_geometry,,True,False,False,bad_geometry
_P3_staging_batch3/攀枝花-西昌220千伏线路PLP02-22型保护端子排线示意图(B066-500-2602)wm666.taobao.com,train,P3,outputs/normalized_geometry/_P3_staging_batch3/攀枝花-西昌220千伏线路PLP02-22型保护端子排线示意图(B066-500-2602)wm666.taobao.com.normalized.json,outputs/topology_graph/_P3_staging_batch3/攀枝花-西昌220千伏线路PLP02-22型保护端子排线示意图(B066-500-2602)wm666.taobao.com.topology.v0.json,ok,2369,1298,1300,1115,True,30,1079,0.8313,0.0231,0,2,"5524.2102,3732.4497,6646.4712,4288.5718","{""LINE"": 1244, ""LWPOLYLINE"": 54}",1.0,high_isolated_ratio,bad_geometry,,True,False,False,bad_geometry
_P3_staging_batch4/005内泵房仪表内部接线图2,val,P3,outputs/normalized_geometry/_P3_staging_batch4/005内泵房仪表内部接线图2.normalized.json,outputs/topology_graph/_P3_staging_batch4/005内泵房仪表内部接线图2.topology.v0.json,ok,328,176,176,156,True,8,150,0.8523,0.0455,0,0,"0.0,0.0,295.0,210.0","{""LINE"": 172, ""LWPOLYLINE"": 4}",0.1811,high_isolated_ratio,bad_geometry,,True,False,False,bad_geometry
_P3_staging_batch4/17-连片接线图,test,P3,outputs/normalized_geometry/_P3_staging_batch4/17-连片接线图.normalized.json,outputs/topology_graph/_P3_staging_batch4/17-连片接线图.topology.v0.json,ok,207,111,111,97,True,10,93,0.8378,0.0901,0,0,"0.0,0.0,420.0,297.0","{""LINE"": 102, ""LWPOLYLINE"": 9}",0.2579,high_isolated_ratio,bad_geometry,,True,False,False,bad_geometry
_P3_staging_batch4/24-连片接线图1,train,P3,outputs/normalized_geometry/_P3_staging_batch4/24-连片接线图1.normalized.json,outputs/topology_graph/_P3_staging_batch4/24-连片接线图1.topology.v0.json,ok,206,111,111,96,True,11,92,0.8288,0.0991,0,0,"-5.5343,-5.0908,414.4657,291.9092","{""LINE"": 102, ""LWPOLYLINE"": 9}",0.2579,high_isolated_ratio,bad_geometry,,True,False,False,bad_geometry
_P3_staging_batch4/DXN8B-T接线图,train,P3,outputs/normalized_geometry/_P3_staging_batch4/DXN8B-T接线图.normalized.json,outputs/topology_graph/_P3_staging_batch4/DXN8B-T接线图.topology.v0.json,ok,0,0,0,0,False,0,0,0.0,0.0,0,0,,{},0.4716,no_edges;not_topology_ready,bad_geometry,,True,False,False,not_topology_ready
