panel_id,parent_drawing_key,split,phase,batch,panel_index,panel_count,split_method,panel_png_path,panel_bbox_cad,parent_normalized_json_path,parent_topology_v0_json_path,topology_v1_panel_json_path,status,error,panel_entity_count,base_segment_count,split_segment_count,intersection_count,split_event_count,split_short_segments,v1_node_count,v1_edge_count,v1_net_count,v1_isolated_edge_ratio,v1_largest_net_edge_ratio,effective_endpoint_tolerance,quality_flags,severity,anomaly_type,suggested_action
_P2_staging/35KV变电所设计#panel_001,_P2_staging/35KV变电所设计,train,P2,_P2_staging,1,4,image_components,outputs/panels/P2/P2_staging__35KV变电所设计__panel_001.png,"44589.3291,-84709.7419,106902.2916,22951.379",outputs/normalized_geometry/_P2_staging/35KV变电所设计.normalized.json,outputs/topology_graph/_P2_staging/35KV变电所设计.topology.v0.json,outputs/topology_panel_v1/_P2_staging/35KV变电所设计#panel_001.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
_P2_staging/变电所、配电所 (gb4728_11_1.3-1)#panel_000,_P2_staging/变电所、配电所 (gb4728_11_1.3-1),train,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/变电所、配电所 (gb4728_11_1.3-1).png,"494.2153,-233.2141,501.7153,-225.7141",outputs/normalized_geometry/_P2_staging/变电所、配电所 (gb4728_11_1.3-1).normalized.json,outputs/topology_graph/_P2_staging/变电所、配电所 (gb4728_11_1.3-1).topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所、配电所 (gb4728_11_1.3-1)#panel_000.topology.v1.json,ok,,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0053,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
_P2_staging/变电所、配电所 (gb4728_11_1.3-2)#panel_000,_P2_staging/变电所、配电所 (gb4728_11_1.3-2),train,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/变电所、配电所 (gb4728_11_1.3-2).png,"0.0,-232.8889,503.1412,0.0",outputs/normalized_geometry/_P2_staging/变电所、配电所 (gb4728_11_1.3-2).normalized.json,outputs/topology_graph/_P2_staging/变电所、配电所 (gb4728_11_1.3-2).topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所、配电所 (gb4728_11_1.3-2)#panel_000.topology.v1.json,ok,,2,0,0,0,0,0,0,0,0,0.0,0.0,0.2772,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
_P2_staging/变电所全套图纸wm666.taobao.com#panel_001,_P2_staging/变电所全套图纸wm666.taobao.com,train,P2,_P2_staging,1,9,image_components,outputs/panels/P2/P2_staging__变电所全套图纸wm666.taobao.com__panel_001.png,"45371.9834,-5926.2953,301570.2959,88042.3516",outputs/normalized_geometry/_P2_staging/变电所全套图纸wm666.taobao.com.normalized.json,outputs/topology_graph/_P2_staging/变电所全套图纸wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所全套图纸wm666.taobao.com#panel_001.topology.v1.json,ok,,1,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
_P2_staging/变电所全套图纸wm666.taobao.com#panel_003,_P2_staging/变电所全套图纸wm666.taobao.com,train,P2,_P2_staging,3,9,image_components,outputs/panels/P2/P2_staging__变电所全套图纸wm666.taobao.com__panel_003.png,"72673.5938,2247.3089,167901.6111,81314.4189",outputs/normalized_geometry/_P2_staging/变电所全套图纸wm666.taobao.com.normalized.json,outputs/topology_graph/_P2_staging/变电所全套图纸wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所全套图纸wm666.taobao.com#panel_003.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
_P2_staging/变电所全套图纸wm666.taobao.com#panel_004,_P2_staging/变电所全套图纸wm666.taobao.com,train,P2,_P2_staging,4,9,image_components,outputs/panels/P2/P2_staging__变电所全套图纸wm666.taobao.com__panel_004.png,"45371.9834,-101062.5999,301570.2959,-7093.953",outputs/normalized_geometry/_P2_staging/变电所全套图纸wm666.taobao.com.normalized.json,outputs/topology_graph/_P2_staging/变电所全套图纸wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所全套图纸wm666.taobao.com#panel_004.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
_P2_staging/变电所全套图纸wm666.taobao.com#panel_005,_P2_staging/变电所全套图纸wm666.taobao.com,train,P2,_P2_staging,5,9,image_components,outputs/panels/P2/P2_staging__变电所全套图纸wm666.taobao.com__panel_005.png,"311289.6693,-101062.5999,567487.9819,-7093.953",outputs/normalized_geometry/_P2_staging/变电所全套图纸wm666.taobao.com.normalized.json,outputs/topology_graph/_P2_staging/变电所全套图纸wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所全套图纸wm666.taobao.com#panel_005.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
_P2_staging/变电所全套图纸wm666.taobao.com#panel_006,_P2_staging/变电所全套图纸wm666.taobao.com,train,P2,_P2_staging,6,9,image_components,outputs/panels/P2/P2_staging__变电所全套图纸wm666.taobao.com__panel_006.png,"338591.2797,-92888.9957,436767.871,-13821.8857",outputs/normalized_geometry/_P2_staging/变电所全套图纸wm666.taobao.com.normalized.json,outputs/topology_graph/_P2_staging/变电所全套图纸wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所全套图纸wm666.taobao.com#panel_006.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
_P2_staging/变电所全套图纸wm666.taobao.com#panel_008,_P2_staging/变电所全套图纸wm666.taobao.com,train,P2,_P2_staging,8,9,image_components,outputs/panels/P2/P2_staging__变电所全套图纸wm666.taobao.com__panel_008.png,"-122696.7307,-169954.4067,71909.1487,-112850.3828",outputs/normalized_geometry/_P2_staging/变电所全套图纸wm666.taobao.com.normalized.json,outputs/topology_graph/_P2_staging/变电所全套图纸wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所全套图纸wm666.taobao.com#panel_008.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-1)#panel_000,_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-1),train,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/变电所（示出改变电压） (gb4728_11_2.9-1).png,"491.5964,-236.4419,505.1697,-225.8778",outputs/normalized_geometry/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-1).normalized.json,outputs/topology_graph/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-1).topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-1)#panel_000.topology.v1.json,ok,,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0086,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-2)#panel_000,_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-2),test,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/变电所（示出改变电压） (gb4728_11_2.9-2).png,"0.0,-236.6947,505.4455,0.0",outputs/normalized_geometry/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-2).normalized.json,outputs/topology_graph/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-2).topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-2)#panel_000.topology.v1.json,ok,,3,0,0,0,0,0,0,0,0,0.0,0.0,0.2791,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
_P2_staging/杆上变电站 (gb4728_11_2.11-1)#panel_000,_P2_staging/杆上变电站 (gb4728_11_2.11-1),train,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/杆上变电站 (gb4728_11_2.11-1).png,"497.0407,-232.9902,502.0407,-226.7402",outputs/normalized_geometry/_P2_staging/杆上变电站 (gb4728_11_2.11-1).normalized.json,outputs/topology_graph/_P2_staging/杆上变电站 (gb4728_11_2.11-1).topology.v0.json,outputs/topology_panel_v1/_P2_staging/杆上变电站 (gb4728_11_2.11-1)#panel_000.topology.v1.json,ok,,2,0,0,0,0,0,0,0,0,0.0,0.0,0.004,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
_P2_staging/杆上变电站 (gb4728_11_2.11-2)#panel_000,_P2_staging/杆上变电站 (gb4728_11_2.11-2),train,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/杆上变电站 (gb4728_11_2.11-2).png,"0.0,-232.5544,501.6102,0.0",outputs/normalized_geometry/_P2_staging/杆上变电站 (gb4728_11_2.11-2).normalized.json,outputs/topology_graph/_P2_staging/杆上变电站 (gb4728_11_2.11-2).topology.v0.json,outputs/topology_panel_v1/_P2_staging/杆上变电站 (gb4728_11_2.11-2)#panel_000.topology.v1.json,ok,,3,0,0,0,0,0,0,0,0,0.0,0.0,0.2764,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
_P2_staging/某厂房变电所平面#panel_001,_P2_staging/某厂房变电所平面,train,P2,_P2_staging,1,2,image_components,outputs/panels/P2/P2_staging__某厂房变电所平面__panel_001.png,"2016.4529,-177484.7342,141764.8883,-84401.3554",outputs/normalized_geometry/_P2_staging/某厂房变电所平面.normalized.json,outputs/topology_graph/_P2_staging/某厂房变电所平面.topology.v0.json,outputs/topology_panel_v1/_P2_staging/某厂房变电所平面#panel_001.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
_P2_staging/某厂房变电所平面wm666.taobao.com#panel_001,_P2_staging/某厂房变电所平面wm666.taobao.com,train,P2,_P2_staging,1,2,image_components,outputs/panels/P2/P2_staging__某厂房变电所平面wm666.taobao.com__panel_001.png,"2016.4529,-177484.7342,141764.8883,-84401.3554",outputs/normalized_geometry/_P2_staging/某厂房变电所平面wm666.taobao.com.normalized.json,outputs/topology_graph/_P2_staging/某厂房变电所平面wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1/_P2_staging/某厂房变电所平面wm666.taobao.com#panel_001.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
_P2_staging/电站、变电所电气及设备04#panel_004,_P2_staging/电站、变电所电气及设备04,train,P2,_P2_staging,4,5,image_components,outputs/panels/P2/P2_staging__电站、变电所电气及设备04__panel_004.png,"1009752.6821,-1332242.7734,1371363.2334,-1166832.2691",outputs/normalized_geometry/_P2_staging/电站、变电所电气及设备04.normalized.json,outputs/topology_graph/_P2_staging/电站、变电所电气及设备04.topology.v0.json,outputs/topology_panel_v1/_P2_staging/电站、变电所电气及设备04#panel_004.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
_P2_staging/电站、变电所电气及设备13#panel_001,_P2_staging/电站、变电所电气及设备13,train,P2,_P2_staging,1,8,image_components,outputs/panels/P2/P2_staging__电站、变电所电气及设备13__panel_001.png,"45371.9834,-5926.2953,301570.2959,88042.3516",outputs/normalized_geometry/_P2_staging/电站、变电所电气及设备13.normalized.json,outputs/topology_graph/_P2_staging/电站、变电所电气及设备13.topology.v0.json,outputs/topology_panel_v1/_P2_staging/电站、变电所电气及设备13#panel_001.topology.v1.json,ok,,1,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
_P2_staging/电站、变电所电气及设备13#panel_002,_P2_staging/电站、变电所电气及设备13,train,P2,_P2_staging,2,8,image_components,outputs/panels/P2/P2_staging__电站、变电所电气及设备13__panel_002.png,"72673.5938,2247.3089,167901.6111,81314.4189",outputs/normalized_geometry/_P2_staging/电站、变电所电气及设备13.normalized.json,outputs/topology_graph/_P2_staging/电站、变电所电气及设备13.topology.v0.json,outputs/topology_panel_v1/_P2_staging/电站、变电所电气及设备13#panel_002.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
_P2_staging/电站、变电所电气及设备13#panel_003,_P2_staging/电站、变电所电气及设备13,train,P2,_P2_staging,3,8,image_components,outputs/panels/P2/P2_staging__电站、变电所电气及设备13__panel_003.png,"45371.9834,-101062.5999,301570.2959,-7093.953",outputs/normalized_geometry/_P2_staging/电站、变电所电气及设备13.normalized.json,outputs/topology_graph/_P2_staging/电站、变电所电气及设备13.topology.v0.json,outputs/topology_panel_v1/_P2_staging/电站、变电所电气及设备13#panel_003.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
_P2_staging/电站、变电所电气及设备13#panel_004,_P2_staging/电站、变电所电气及设备13,train,P2,_P2_staging,4,8,image_components,outputs/panels/P2/P2_staging__电站、变电所电气及设备13__panel_004.png,"311289.6693,-101062.5999,567487.9819,-7093.953",outputs/normalized_geometry/_P2_staging/电站、变电所电气及设备13.normalized.json,outputs/topology_graph/_P2_staging/电站、变电所电气及设备13.topology.v0.json,outputs/topology_panel_v1/_P2_staging/电站、变电所电气及设备13#panel_004.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
_P2_staging/电站、变电所电气及设备13#panel_005,_P2_staging/电站、变电所电气及设备13,train,P2,_P2_staging,5,8,image_components,outputs/panels/P2/P2_staging__电站、变电所电气及设备13__panel_005.png,"338591.2797,-92888.9957,436767.871,-13821.8857",outputs/normalized_geometry/_P2_staging/电站、变电所电气及设备13.normalized.json,outputs/topology_graph/_P2_staging/电站、变电所电气及设备13.topology.v0.json,outputs/topology_panel_v1/_P2_staging/电站、变电所电气及设备13#panel_005.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
_P2_staging/电站、变电所电气及设备13#panel_007,_P2_staging/电站、变电所电气及设备13,train,P2,_P2_staging,7,8,image_components,outputs/panels/P2/P2_staging__电站、变电所电气及设备13__panel_007.png,"-122696.7307,-169954.4067,71909.1487,-112850.3828",outputs/normalized_geometry/_P2_staging/电站、变电所电气及设备13.normalized.json,outputs/topology_graph/_P2_staging/电站、变电所电气及设备13.topology.v0.json,outputs/topology_panel_v1/_P2_staging/电站、变电所电气及设备13#panel_007.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
_P2_staging/移动变电所 (gb4728-11_2.12-2)#panel_000,_P2_staging/移动变电所 (gb4728-11_2.12-2),val,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/移动变电所 (gb4728-11_2.12-2).png,"0.0,-233.5102,501.2087,0.0",outputs/normalized_geometry/_P2_staging/移动变电所 (gb4728-11_2.12-2).normalized.json,outputs/topology_graph/_P2_staging/移动变电所 (gb4728-11_2.12-2).topology.v0.json,outputs/topology_panel_v1/_P2_staging/移动变电所 (gb4728-11_2.12-2)#panel_000.topology.v1.json,ok,,4,0,0,0,0,0,0,0,0,0.0,0.0,0.2765,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
_P2_staging/移动变电所 (gb4728_11_2.12-1)#panel_000,_P2_staging/移动变电所 (gb4728_11_2.12-1),train,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/移动变电所 (gb4728_11_2.12-1).png,"496.2153,-231.7991,501.2153,-225.9678",outputs/normalized_geometry/_P2_staging/移动变电所 (gb4728_11_2.12-1).normalized.json,outputs/topology_graph/_P2_staging/移动变电所 (gb4728_11_2.12-1).topology.v0.json,outputs/topology_panel_v1/_P2_staging/移动变电所 (gb4728_11_2.12-1)#panel_000.topology.v1.json,ok,,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0038,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
_P2_staging/运行的移动变电站#panel_000,_P2_staging/运行的移动变电站,test,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/运行的移动变电站.png,"903.3947,572.2067,915.3947,582.2067",outputs/normalized_geometry/_P2_staging/运行的移动变电站.normalized.json,outputs/topology_graph/_P2_staging/运行的移动变电站.topology.v0.json,outputs/topology_panel_v1/_P2_staging/运行的移动变电站#panel_000.topology.v1.json,ok,,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0078,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
_P3_staging_batch1/铁路配电所有载调压保护#panel_002,_P3_staging_batch1/铁路配电所有载调压保护,train,P3,_P3_staging_batch1,2,6,image_components,outputs/panels/P3/P3_staging_batch1__铁路配电所有载调压保护__panel_002.png,"637.9374,31.9356,1229.4321,328.1107",outputs/normalized_geometry/_P3_staging_batch1/铁路配电所有载调压保护.normalized.json,outputs/topology_graph/_P3_staging_batch1/铁路配电所有载调压保护.topology.v0.json,outputs/topology_panel_v1/_P3_staging_batch1/铁路配电所有载调压保护#panel_002.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.3308,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
_P3_staging_batch1/铁路配电所有载调压保护#panel_003,_P3_staging_batch1/铁路配电所有载调压保护,train,P3,_P3_staging_batch1,3,6,image_components,outputs/panels/P3/P3_staging_batch1__铁路配电所有载调压保护__panel_003.png,"1231.4624,31.2343,1739.038,327.2925",outputs/normalized_geometry/_P3_staging_batch1/铁路配电所有载调压保护.normalized.json,outputs/topology_graph/_P3_staging_batch1/铁路配电所有载调压保护.topology.v0.json,outputs/topology_panel_v1/_P3_staging_batch1/铁路配电所有载调压保护#panel_003.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2938,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
_P3_staging_batch1/高压异步电机保护二次原理图#panel_004,_P3_staging_batch1/高压异步电机保护二次原理图,train,P3,_P3_staging_batch1,4,8,image_components,outputs/panels/P3/P3_staging_batch1__高压异步电机保护二次原理图__panel_004.png,"3660.8144,-103868.7742,62765.4577,-45829.9097",outputs/normalized_geometry/_P3_staging_batch1/高压异步电机保护二次原理图.normalized.json,outputs/topology_graph/_P3_staging_batch1/高压异步电机保护二次原理图.topology.v0.json,outputs/topology_panel_v1/_P3_staging_batch1/高压异步电机保护二次原理图#panel_004.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
_P3_staging_batch1/高压异步电机保护二次原理图#panel_006,_P3_staging_batch1/高压异步电机保护二次原理图,train,P3,_P3_staging_batch1,6,8,image_components,outputs/panels/P3/P3_staging_batch1__高压异步电机保护二次原理图__panel_006.png,"162460.0369,-80383.9759,186233.3597,-49145.7039",outputs/normalized_geometry/_P3_staging_batch1/高压异步电机保护二次原理图.normalized.json,outputs/topology_graph/_P3_staging_batch1/高压异步电机保护二次原理图.topology.v0.json,outputs/topology_panel_v1/_P3_staging_batch1/高压异步电机保护二次原理图#panel_006.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
_P3_staging_batch2/发-变组保护测量配置图#panel_002,_P3_staging_batch2/发-变组保护测量配置图,test,P3,_P3_staging_batch2,2,7,image_components,outputs/panels/P3/P3_staging_batch2__发-变组保护测量配置图__panel_002.png,"-100.1767,539.3787,1512.8609,2445.2152",outputs/normalized_geometry/_P3_staging_batch2/发-变组保护测量配置图.normalized.json,outputs/topology_graph/_P3_staging_batch2/发-变组保护测量配置图.topology.v0.json,outputs/topology_panel_v1/_P3_staging_batch2/发-变组保护测量配置图#panel_002.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
_P3_staging_batch2/开关柜底座及基础图#panel_000,_P3_staging_batch2/开关柜底座及基础图,train,P3,_P3_staging_batch2,0,1,full,datas/qa_and_png/P3_oda_output/开关柜底座及基础图.png,"668.3056,807.2076,3668.3061,807.208",outputs/normalized_geometry/_P3_staging_batch2/开关柜底座及基础图.normalized.json,outputs/topology_graph/_P3_staging_batch2/开关柜底座及基础图.topology.v0.json,outputs/topology_panel_v1/_P3_staging_batch2/开关柜底座及基础图#panel_000.topology.v1.json,ok,,7,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.
