panel_id,parent_drawing_key,split,phase,severity,anomaly_type,split_method,status,quality_flags,v1_edge_count,v1_node_count,v1_net_count,v1_isolated_edge_ratio,v1_largest_net_edge_ratio,intersection_count,panel_png_path,topology_v1_panel_json_path,model_review_label,model_confidence,model_needs_human_review,model_reason,review_label,comment
_P2_staging/35KV变电所设计#panel_001,_P2_staging/35KV变电所设计,train,P2,high,no_edges_or_no_nets,image_components,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,outputs/panels/P2/P2_staging__35KV变电所设计__panel_001.png,outputs/topology_panel_v1/_P2_staging/35KV变电所设计#panel_001.topology.v1.json,not_topology_target,0.9,True,"The panel is a structural elevation dimensioned drawing, not a wiring or topology graph target.",not_topology_target,"model: The panel is a structural elevation dimensioned drawing, not a wiring or topology graph target."
_P2_staging/变电所、配电所 (gb4728_11_1.3-1)#panel_000,_P2_staging/变电所、配电所 (gb4728_11_1.3-1),train,P2,high,no_edges_or_no_nets,full,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,datas/qa_and_png/P2_oda_output/变电所、配电所 (gb4728_11_1.3-1).png,outputs/topology_panel_v1/_P2_staging/变电所、配电所 (gb4728_11_1.3-1)#panel_000.topology.v1.json,bad_geometry,0.98,True,"The panel has no detectable topology elements, is effectively blank, and cannot be used for topology graph extraction.",bad_geometry,"model: The panel has no detectable topology elements, is effectively blank, and cannot be used for topology graph extraction."
_P2_staging/变电所、配电所 (gb4728_11_1.3-2)#panel_000,_P2_staging/变电所、配电所 (gb4728_11_1.3-2),train,P2,high,no_edges_or_no_nets,full,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,datas/qa_and_png/P2_oda_output/变电所、配电所 (gb4728_11_1.3-2).png,outputs/topology_panel_v1/_P2_staging/变电所、配电所 (gb4728_11_1.3-2)#panel_000.topology.v1.json,bad_geometry,0.98,True,"The panel has no detectable topology elements and is nearly unreadable, making it unusable for topology graph extraction.",bad_geometry,"model: The panel has no detectable topology elements and is nearly unreadable, making it unusable for topology graph extraction."
_P2_staging/变电所全套图纸wm666.taobao.com#panel_001,_P2_staging/变电所全套图纸wm666.taobao.com,train,P2,high,no_edges_or_no_nets,image_components,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,outputs/panels/P2/P2_staging__变电所全套图纸wm666.taobao.com__panel_001.png,outputs/topology_panel_v1/_P2_staging/变电所全套图纸wm666.taobao.com#panel_001.topology.v1.json,needs_panel_split,0.98,True,Single panel contains multiple independent separated diagrams that must be split before any topology graph processing,needs_panel_split,model: Single panel contains multiple independent separated diagrams that must be split before any topology graph processing
_P2_staging/变电所全套图纸wm666.taobao.com#panel_003,_P2_staging/变电所全套图纸wm666.taobao.com,train,P2,high,no_edges_or_no_nets,image_components,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,outputs/panels/P2/P2_staging__变电所全套图纸wm666.taobao.com__panel_003.png,outputs/topology_panel_v1/_P2_staging/变电所全套图纸wm666.taobao.com#panel_003.topology.v1.json,not_topology_target,0.98,True,"The panel is an architectural building layout plan, not a wiring or topology graph target.",not_topology_target,"model: The panel is an architectural building layout plan, not a wiring or topology graph target."
_P2_staging/变电所全套图纸wm666.taobao.com#panel_004,_P2_staging/变电所全套图纸wm666.taobao.com,train,P2,high,no_edges_or_no_nets,image_components,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,outputs/panels/P2/P2_staging__变电所全套图纸wm666.taobao.com__panel_004.png,outputs/topology_panel_v1/_P2_staging/变电所全套图纸wm666.taobao.com#panel_004.topology.v1.json,not_topology_target,0.9,True,"The panel contains a substation grounding building layout plan, supporting text notes, material table and title block, with no valid wiring/topology graph content for extraction.",not_topology_target,"model: The panel contains a substation grounding building layout plan, supporting text notes, material table and title block, with no valid wiring/topology graph content for extraction."
_P2_staging/变电所全套图纸wm666.taobao.com#panel_005,_P2_staging/变电所全套图纸wm666.taobao.com,train,P2,high,no_edges_or_no_nets,image_components,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,outputs/panels/P2/P2_staging__变电所全套图纸wm666.taobao.com__panel_005.png,outputs/topology_panel_v1/_P2_staging/变电所全套图纸wm666.taobao.com#panel_005.topology.v1.json,not_topology_target,0.95,True,"The panel is a substation physical floor layout plan with associated equipment table and title block, not an electrical wiring/topology graph target.",not_topology_target,"model: The panel is a substation physical floor layout plan with associated equipment table and title block, not an electrical wiring/topology graph target."
_P2_staging/变电所全套图纸wm666.taobao.com#panel_006,_P2_staging/变电所全套图纸wm666.taobao.com,train,P2,high,no_edges_or_no_nets,image_components,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,outputs/panels/P2/P2_staging__变电所全套图纸wm666.taobao.com__panel_006.png,outputs/topology_panel_v1/_P2_staging/变电所全套图纸wm666.taobao.com#panel_006.topology.v1.json,not_topology_target,0.98,True,"This panel is a substation building layout plan, not a wiring/topology graph target.",not_topology_target,"model: This panel is a substation building layout plan, not a wiring/topology graph target."
_P2_staging/变电所全套图纸wm666.taobao.com#panel_008,_P2_staging/变电所全套图纸wm666.taobao.com,train,P2,high,no_edges_or_no_nets,image_components,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,outputs/panels/P2/P2_staging__变电所全套图纸wm666.taobao.com__panel_008.png,outputs/topology_panel_v1/_P2_staging/变电所全套图纸wm666.taobao.com#panel_008.topology.v1.json,needs_panel_split,0.98,True,"The panel contains multiple visually independent, disconnected electrical topology diagrams separated by blank space that must be split into separate panels for topology graph use.",not_topology_target,"model: The panel contains multiple visually independent, disconnected electrical topology diagrams separated by blank space that must be split into separate panels for topology graph use."
_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-1)#panel_000,_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-1),train,P2,high,no_edges_or_no_nets,full,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,datas/qa_and_png/P2_oda_output/变电所（示出改变电压） (gb4728_11_2.9-1).png,outputs/topology_panel_v1/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-1)#panel_000.topology.v1.json,bad_geometry,0.95,True,"Extremely faint linework is nearly unreadable against the white background, resulting in no usable topology elements extracted.",bad_geometry,"model: Extremely faint linework is nearly unreadable against the white background, resulting in no usable topology elements extracted."
_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-2)#panel_000,_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-2),test,P2,high,no_edges_or_no_nets,full,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,datas/qa_and_png/P2_oda_output/变电所（示出改变电压） (gb4728_11_2.9-2).png,outputs/topology_panel_v1/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-2)#panel_000.topology.v1.json,still_fragmented,0.9,True,"Extracted topology has zero nodes, edges, and nets, so it is completely fragmented and not usable as a baseline graph.",bad_geometry,
_P2_staging/杆上变电站 (gb4728_11_2.11-1)#panel_000,_P2_staging/杆上变电站 (gb4728_11_2.11-1),train,P2,high,no_edges_or_no_nets,full,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,datas/qa_and_png/P2_oda_output/杆上变电站 (gb4728_11_2.11-1).png,outputs/topology_panel_v1/_P2_staging/杆上变电站 (gb4728_11_2.11-1)#panel_000.topology.v1.json,bad_geometry,0.9,True,"No valid topology elements are detected in the panel, making it unusable for topology graph generation.",bad_geometry,
_P2_staging/杆上变电站 (gb4728_11_2.11-2)#panel_000,_P2_staging/杆上变电站 (gb4728_11_2.11-2),train,P2,high,no_edges_or_no_nets,full,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,datas/qa_and_png/P2_oda_output/杆上变电站 (gb4728_11_2.11-2).png,outputs/topology_panel_v1/_P2_staging/杆上变电站 (gb4728_11_2.11-2)#panel_000.topology.v1.json,not_topology_target,0.92,True,The panel contains only a standalone electrical symbol rather than a complete wiring/topology graph target.,bad_geometry,
_P2_staging/某厂房变电所平面#panel_001,_P2_staging/某厂房变电所平面,train,P2,high,no_edges_or_no_nets,image_components,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,outputs/panels/P2/P2_staging__某厂房变电所平面__panel_001.png,outputs/topology_panel_v1/_P2_staging/某厂房变电所平面#panel_001.topology.v1.json,needs_panel_split,0.98,True,"The panel contains multiple independent building plan diagrams, notes sections, and title block regions that require splitting before further processing.",needs_panel_split,"model: The panel contains multiple independent building plan diagrams, notes sections, and title block regions that require splitting before further processing."
_P2_staging/某厂房变电所平面wm666.taobao.com#panel_001,_P2_staging/某厂房变电所平面wm666.taobao.com,train,P2,high,no_edges_or_no_nets,image_components,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,outputs/panels/P2/P2_staging__某厂房变电所平面wm666.taobao.com__panel_001.png,outputs/topology_panel_v1/_P2_staging/某厂房变电所平面wm666.taobao.com#panel_001.topology.v1.json,needs_panel_split,0.98,True,"Panel contains multiple independent building plan diagrams, text blocks, and tables that require splitting before further topology assessment.",needs_panel_split,"model: Panel contains multiple independent building plan diagrams, text blocks, and tables that require splitting before further topology assessment."
_P2_staging/电站、变电所电气及设备04#panel_004,_P2_staging/电站、变电所电气及设备04,train,P2,high,no_edges_or_no_nets,image_components,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,outputs/panels/P2/P2_staging__电站、变电所电气及设备04__panel_004.png,outputs/topology_panel_v1/_P2_staging/电站、变电所电气及设备04#panel_004.topology.v1.json,needs_panel_split,0.92,True,"The image contains multiple independent, border-separated sub-diagrams each with distinct section titles that need to be split before topology processing.",needs_panel_split,"model: The image contains multiple independent, border-separated sub-diagrams each with distinct section titles that need to be split before topology processing."
_P2_staging/电站、变电所电气及设备13#panel_001,_P2_staging/电站、变电所电气及设备13,train,P2,high,no_edges_or_no_nets,image_components,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,outputs/panels/P2/P2_staging__电站、变电所电气及设备13__panel_001.png,outputs/topology_panel_v1/_P2_staging/电站、变电所电气及设备13#panel_001.topology.v1.json,needs_panel_split,0.9,True,The image contains multiple independent separated sub-diagrams and a title block that must be split prior to topology graph assessment.,needs_terminal_anchor,model: The image contains multiple independent separated sub-diagrams and a title block that must be split prior to topology graph assessment.
_P2_staging/电站、变电所电气及设备13#panel_002,_P2_staging/电站、变电所电气及设备13,train,P2,high,no_edges_or_no_nets,image_components,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,outputs/panels/P2/P2_staging__电站、变电所电气及设备13__panel_002.png,outputs/topology_panel_v1/_P2_staging/电站、变电所电气及设备13#panel_002.topology.v1.json,not_topology_target,0.98,True,"The panel is an architectural building layout plan for a power station, not a wiring/electrical topology graph target.",still_fragmented,"model: The panel is an architectural building layout plan for a power station, not a wiring/electrical topology graph target."
_P2_staging/电站、变电所电气及设备13#panel_003,_P2_staging/电站、变电所电气及设备13,train,P2,high,no_edges_or_no_nets,image_components,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,outputs/panels/P2/P2_staging__电站、变电所电气及设备13__panel_003.png,outputs/topology_panel_v1/_P2_staging/电站、变电所电气及设备13#panel_003.topology.v1.json,not_topology_target,0.9,True,"The panel is a building grounding site layout plan with supporting tables, notes and title block, not a wiring/topology graph target.",still_fragmented,"model: The panel is a building grounding site layout plan with supporting tables, notes and title block, not a wiring/topology graph target."
_P2_staging/电站、变电所电气及设备13#panel_004,_P2_staging/电站、变电所电气及设备13,train,P2,high,no_edges_or_no_nets,image_components,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,outputs/panels/P2/P2_staging__电站、变电所电气及设备13__panel_004.png,outputs/topology_panel_v1/_P2_staging/电站、变电所电气及设备13#panel_004.topology.v1.json,not_topology_target,0.95,True,"The panel is a substation equipment floor layout plan with supplementary table and title block, not a wiring/topology graph target.",still_fragmented,"model: The panel is a substation equipment floor layout plan with supplementary table and title block, not a wiring/topology graph target."
_P2_staging/电站、变电所电气及设备13#panel_005,_P2_staging/电站、变电所电气及设备13,train,P2,high,no_edges_or_no_nets,image_components,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,outputs/panels/P2/P2_staging__电站、变电所电气及设备13__panel_005.png,outputs/topology_panel_v1/_P2_staging/电站、变电所电气及设备13#panel_005.topology.v1.json,not_topology_target,0.98,True,"The panel is an architectural building floor plan of a power station, not a wiring/topology graph target.",still_fragmented,"model: The panel is an architectural building floor plan of a power station, not a wiring/topology graph target."
_P2_staging/电站、变电所电气及设备13#panel_007,_P2_staging/电站、变电所电气及设备13,train,P2,high,no_edges_or_no_nets,image_components,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,outputs/panels/P2/P2_staging__电站、变电所电气及设备13__panel_007.png,outputs/topology_panel_v1/_P2_staging/电站、变电所电气及设备13#panel_007.topology.v1.json,needs_panel_split,0.95,True,The panel contains multiple independent unconnected electrical topology diagrams that must be split before topology graph generation.,still_fragmented,model: The panel contains multiple independent unconnected electrical topology diagrams that must be split before topology graph generation.
_P2_staging/移动变电所 (gb4728-11_2.12-2)#panel_000,_P2_staging/移动变电所 (gb4728-11_2.12-2),val,P2,high,no_edges_or_no_nets,full,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,datas/qa_and_png/P2_oda_output/移动变电所 (gb4728-11_2.12-2).png,outputs/topology_panel_v1/_P2_staging/移动变电所 (gb4728-11_2.12-2)#panel_000.topology.v1.json,bad_geometry,0.9,True,"Extremely faint linework makes the diagram nearly unreadable, with no valid topology edges or nodes detected.",bad_geometry,"model: Extremely faint linework makes the diagram nearly unreadable, with no valid topology edges or nodes detected."
_P2_staging/移动变电所 (gb4728_11_2.12-1)#panel_000,_P2_staging/移动变电所 (gb4728_11_2.12-1),train,P2,high,no_edges_or_no_nets,full,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,datas/qa_and_png/P2_oda_output/移动变电所 (gb4728_11_2.12-1).png,outputs/topology_panel_v1/_P2_staging/移动变电所 (gb4728_11_2.12-1)#panel_000.topology.v1.json,bad_geometry,0.9,True,"No detectable topology edges, nodes, or nets exist in the panel, with effectively no usable topology content present.",bad_geometry,"model: No detectable topology edges, nodes, or nets exist in the panel, with effectively no usable topology content present."
_P2_staging/运行的移动变电站#panel_000,_P2_staging/运行的移动变电站,test,P2,high,no_edges_or_no_nets,full,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,datas/qa_and_png/P2_oda_output/运行的移动变电站.png,outputs/topology_panel_v1/_P2_staging/运行的移动变电站#panel_000.topology.v1.json,bad_geometry,0.9,True,"No detectable topology elements or valid graph content present, panel is unusable for topology graph generation.",bad_geometry,"model: No detectable topology elements or valid graph content present, panel is unusable for topology graph generation."
_P3_staging_batch1/铁路配电所有载调压保护#panel_002,_P3_staging_batch1/铁路配电所有载调压保护,train,P3,high,no_edges_or_no_nets,image_components,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,outputs/panels/P3/P3_staging_batch1__铁路配电所有载调压保护__panel_002.png,outputs/topology_panel_v1/_P3_staging_batch1/铁路配电所有载调压保护#panel_002.topology.v1.json,still_fragmented,0.9,True,"The single coherent terminal wiring panel has no detected nodes, edges, or nets in the v1 topology, resulting in a completely fragmented unusable graph.",still_fragmented,"model: The single coherent terminal wiring panel has no detected nodes, edges, or nets in the v1 topology, resulting in a completely fragmented unusable graph."
_P3_staging_batch1/铁路配电所有载调压保护#panel_003,_P3_staging_batch1/铁路配电所有载调压保护,train,P3,high,no_edges_or_no_nets,image_components,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,outputs/panels/P3/P3_staging_batch1__铁路配电所有载调压保护__panel_003.png,outputs/topology_panel_v1/_P3_staging_batch1/铁路配电所有载调压保护#panel_003.topology.v1.json,not_topology_target,0.98,True,"The panel is a terminal connection assignment table, not a wiring or topology diagram target.",not_topology_target,"model: The panel is a terminal connection assignment table, not a wiring or topology diagram target."
_P3_staging_batch1/高压异步电机保护二次原理图#panel_004,_P3_staging_batch1/高压异步电机保护二次原理图,train,P3,high,no_edges_or_no_nets,image_components,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,outputs/panels/P3/P3_staging_batch1__高压异步电机保护二次原理图__panel_004.png,outputs/topology_panel_v1/_P3_staging_batch1/高压异步电机保护二次原理图#panel_004.topology.v1.json,still_fragmented,0.92,True,"The panel is a valid single wiring topology diagram, but the extracted v1 topology graph is completely empty with no nodes, edges, or nets, making it unusable.",still_fragmented,"model: The panel is a valid single wiring topology diagram, but the extracted v1 topology graph is completely empty with no nodes, edges, or nets, making it unusable."
_P3_staging_batch1/高压异步电机保护二次原理图#panel_006,_P3_staging_batch1/高压异步电机保护二次原理图,train,P3,high,no_edges_or_no_nets,image_components,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,outputs/panels/P3/P3_staging_batch1__高压异步电机保护二次原理图__panel_006.png,outputs/topology_panel_v1/_P3_staging_batch1/高压异步电机保护二次原理图#panel_006.topology.v1.json,still_fragmented,0.9,True,"The extracted topology graph has no detected nodes, edges, or nets, failing to capture the complete visible coherent wiring circuit in the panel",still_fragmented,"model: The extracted topology graph has no detected nodes, edges, or nets, failing to capture the complete visible coherent wiring circuit in the panel"
_P3_staging_batch2/发-变组保护测量配置图#panel_002,_P3_staging_batch2/发-变组保护测量配置图,test,P3,high,no_edges_or_no_nets,image_components,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,outputs/panels/P3/P3_staging_batch2__发-变组保护测量配置图__panel_002.png,outputs/topology_panel_v1/_P3_staging_batch2/发-变组保护测量配置图#panel_002.topology.v1.json,still_fragmented,0.95,True,"The panel contains a valid single topology diagram, but the extracted v1 graph has zero detected nodes, edges, and nets, making it too fragmented for use.",still_fragmented,"model: The panel contains a valid single topology diagram, but the extracted v1 graph has zero detected nodes, edges, and nets, making it too fragmented for use."
_P3_staging_batch2/开关柜底座及基础图#panel_000,_P3_staging_batch2/开关柜底座及基础图,train,P3,high,no_edges_or_no_nets,full,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,datas/qa_and_png/P3_oda_output/开关柜底座及基础图.png,outputs/topology_panel_v1/_P3_staging_batch2/开关柜底座及基础图#panel_000.topology.v1.json,not_topology_target,0.98,True,"The panel is a switchgear base foundation construction/mechanical layout drawing, not an electrical wiring/connectivity topology graph target.",bad_geometry,"model: The panel is a switchgear base foundation construction/mechanical layout drawing, not an electrical wiring/connectivity topology graph target."
_P3_staging_batch4/10KV配网设计块图#panel_000,_P3_staging_batch4/10KV配网设计块图,train,P3,high,no_edges_or_no_nets,image_components,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,outputs/panels/P3/P3_staging_batch4__10KV配网设计块图__panel_000.png,outputs/topology_panel_v1/_P3_staging_batch4/10KV配网设计块图#panel_000.topology.v1.json,needs_panel_split,0.99,True,The panel contains two visually independent sub-diagrams (front and side view of the switch) that must be split into separate panels first for topology graph processing.,bad_geometry,model: The panel contains two visually independent sub-diagrams (front and side view of the switch) that must be split into separate panels first for topology graph processing.
_P3_staging_batch4/10KV配网设计块图#panel_001,_P3_staging_batch4/10KV配网设计块图,train,P3,high,no_edges_or_no_nets,image_components,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,outputs/panels/P3/P3_staging_batch4__10KV配网设计块图__panel_001.png,outputs/topology_panel_v1/_P3_staging_batch4/10KV配网设计块图#panel_001.topology.v1.json,needs_panel_split,0.95,True,The panel contains multiple independent subfigures (two transformer orthographic views) that require splitting before topology assessment.,bad_geometry,model: The panel contains multiple independent subfigures (two transformer orthographic views) that require splitting before topology assessment.
_P3_staging_batch4/10KV配网设计块图#panel_002,_P3_staging_batch4/10KV配网设计块图,train,P3,high,no_edges_or_no_nets,image_components,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,outputs/panels/P3/P3_staging_batch4__10KV配网设计块图__panel_002.png,outputs/topology_panel_v1/_P3_staging_batch4/10KV配网设计块图#panel_002.topology.v1.json,not_topology_target,0.9,True,Panel only contains a single standalone device symbol with no interconnecting topology wiring or networks.,bad_geometry,
_P3_staging_batch4/10KV配网设计块图#panel_003,_P3_staging_batch4/10KV配网设计块图,train,P3,high,no_edges_or_no_nets,image_components,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,outputs/panels/P3/P3_staging_batch4__10KV配网设计块图__panel_003.png,outputs/topology_panel_v1/_P3_staging_batch4/10KV配网设计块图#panel_003.topology.v1.json,needs_panel_split,0.98,True,"Panel contains multiple independent separate component subfigures with no interconnections, requiring splitting before topology processing.",bad_geometry,
_P3_staging_batch4/10KV配网设计块图#panel_004,_P3_staging_batch4/10KV配网设计块图,train,P3,high,no_edges_or_no_nets,image_components,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,outputs/panels/P3/P3_staging_batch4__10KV配网设计块图__panel_004.png,outputs/topology_panel_v1/_P3_staging_batch4/10KV配网设计块图#panel_004.topology.v1.json,not_topology_target,0.9,True,"The panel contains only individual standalone electrical component part drawings, with no connected wiring or topology network content.",bad_geometry,
_P3_staging_batch4/10KV配网设计块图#panel_005,_P3_staging_batch4/10KV配网设计块图,train,P3,high,no_edges_or_no_nets,image_components,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,outputs/panels/P3/P3_staging_batch4__10KV配网设计块图__panel_005.png,outputs/topology_panel_v1/_P3_staging_batch4/10KV配网设计块图#panel_005.topology.v1.json,not_topology_target,0.95,True,"The panel is a collection of individual unconnected insulator component drawings, not a connected wiring or network topology graph target.",bad_geometry,
_P3_staging_batch4/10kv系统单线图#panel_004,_P3_staging_batch4/10kv系统单线图,train,P3,high,no_edges_or_no_nets,image_components,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,outputs/panels/P3/P3_staging_batch4__10kv系统单线图__panel_004.png,outputs/topology_panel_v1/_P3_staging_batch4/10kv系统单线图#panel_004.topology.v1.json,not_topology_target,1.0,True,"The panel is a relay protection configuration table, not a wiring or topology graph target.",not_topology_target,"model: The panel is a relay protection configuration table, not a wiring or topology graph target."
_P3_staging_batch4/10kv系统单线图#panel_005,_P3_staging_batch4/10kv系统单线图,train,P3,high,no_edges_or_no_nets,image_components,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,outputs/panels/P3/P3_staging_batch4__10kv系统单线图__panel_005.png,outputs/topology_panel_v1/_P3_staging_batch4/10kv系统单线图#panel_005.topology.v1.json,not_topology_target,0.99,True,"The panel only contains electrical system specification text, no wiring/topology diagram content suitable for topology extraction.",bad_geometry,
_P3_staging_batch4/DXN8B-T接线图#panel_000,_P3_staging_batch4/DXN8B-T接线图,train,P3,high,no_edges_or_no_nets,full,ok,no_edges;no_nets,0,0,0,0.0,0.0,0,datas/qa_and_png/P3_oda_output/DXN8B-T接线图.png,outputs/topology_panel_v1/_P3_staging_batch4/DXN8B-T接线图#panel_000.topology.v1.json,needs_panel_split,0.99,True,The panel contains two independent unconnected wiring diagrams that must be split prior to topology graph generation,bad_geometry,model: The panel contains two independent unconnected wiring diagrams that must be split prior to topology graph generation
