panel_id,parent_drawing_key,parent_drawing_id,parent_png_path,parent_raw_json_path,panel_index,panel_count,split,phase,batch,split_method,panel_bbox_cad,parent_bbox_cad,panel_bbox_png,parent_png_width,parent_png_height,panel_entity_count,panel_png_path,needs_review,notes,review_status,review_comment,reviewed,panel_usable
_P1_staging/#2主变测量计度回路(B066-500-0201)wm666.taobao.com#panel_000,_P1_staging/#2主变测量计度回路(B066-500-0201)wm666.taobao.com,#2主变测量计度回路(B066-500-0201)wm666.taobao.com,datas/qa_and_png/P1_oda_output/#2主变测量计度回路(B066-500-0201)wm666.taobao.com.png,datas/raw_json/_P1_staging/#2主变测量计度回路(B066-500-0201)wm666.taobao.com.json,0,1,train,P1,_P1_staging,full,"-25.0,-381.2361,999.2498,525.5864","-25.0,-381.2361,999.2498,525.5864","0.0,0.0,9362.0,6622.0",9362,6622,3979,datas/qa_and_png/P1_oda_output/#2主变测量计度回路(B066-500-0201)wm666.taobao.com.png,False,,,,False,True
_P1_staging/#2主变风冷控制回路(一)(B066-500-0213)wm666.taobao.com#panel_000,_P1_staging/#2主变风冷控制回路(一)(B066-500-0213)wm666.taobao.com,#2主变风冷控制回路(一)(B066-500-0213)wm666.taobao.com,datas/qa_and_png/P1_oda_output/#2主变风冷控制回路(一)(B066-500-0213)wm666.taobao.com.png,datas/raw_json/_P1_staging/#2主变风冷控制回路(一)(B066-500-0213)wm666.taobao.com.json,0,1,train,P1,_P1_staging,full,"-24.7339,-337.5139,1000.2614,503.0371","-24.7339,-337.5139,1000.2614,503.0371","0.0,0.0,9362.0,6622.0",9362,6622,3710,datas/qa_and_png/P1_oda_output/#2主变风冷控制回路(一)(B066-500-0213)wm666.taobao.com.png,False,,,,False,True
_P1_staging/#2主变风冷控制回路(二)(B066-500-0214)wm666.taobao.com#panel_000,_P1_staging/#2主变风冷控制回路(二)(B066-500-0214)wm666.taobao.com,#2主变风冷控制回路(二)(B066-500-0214)wm666.taobao.com,datas/qa_and_png/P1_oda_output/#2主变风冷控制回路(二)(B066-500-0214)wm666.taobao.com.png,datas/raw_json/_P1_staging/#2主变风冷控制回路(二)(B066-500-0214)wm666.taobao.com.json,0,1,train,P1,_P1_staging,full,"-26.8573,-335.3663,822.5786,392.3801","-26.8573,-335.3663,822.5786,392.3801","0.0,0.0,9362.0,6622.0",9362,6622,1537,datas/qa_and_png/P1_oda_output/#2主变风冷控制回路(二)(B066-500-0214)wm666.taobao.com.png,False,,,,False,True
_P1_staging/#2主变风冷控制箱二次安装图(B066-500-0311)wm666.taobao.com#panel_000,_P1_staging/#2主变风冷控制箱二次安装图(B066-500-0311)wm666.taobao.com,#2主变风冷控制箱二次安装图(B066-500-0311)wm666.taobao.com,datas/qa_and_png/P1_oda_output/#2主变风冷控制箱二次安装图(B066-500-0311)wm666.taobao.com.png,datas/raw_json/_P1_staging/#2主变风冷控制箱二次安装图(B066-500-0311)wm666.taobao.com.json,0,1,train,P1,_P1_staging,full,"-25.0,-323.9746,559.0,377.7175","-25.0,-323.9746,559.0,377.7175","0.0,0.0,6622.0,9362.0",6622,9362,3186,datas/qa_and_png/P1_oda_output/#2主变风冷控制箱二次安装图(B066-500-0311)wm666.taobao.com.png,False,,,,False,True
_P1_staging/001 220kV变电站电气主接线图#panel_000,_P1_staging/001 220kV变电站电气主接线图,001 220kV变电站电气主接线图,datas/qa_and_png/P1_oda_output/001 220kV变电站电气主接线图.png,datas/raw_json/_P1_staging/001 220kV变电站电气主接线图.json,0,1,train,P1,_P1_staging,candidate_full_fallback,"-6161694.8959,757584.1999,-3059444.4113,1518793.3671","-6161694.8959,757584.1999,-3059444.4113,1518793.3671","0.0,0.0,9362.0,6622.0",9362,6622,2802,datas/qa_and_png/P1_oda_output/001 220kV变电站电气主接线图.png,True,discarded_tiny_panels=2,reject,空白图,True,False
_P1_staging/01-110KV屋外配电装置配置接线图wm666.taobao.com#panel_000,_P1_staging/01-110KV屋外配电装置配置接线图wm666.taobao.com,01-110KV屋外配电装置配置接线图wm666.taobao.com,datas/qa_and_png/P1_oda_output/01-110KV屋外配电装置配置接线图wm666.taobao.com.png,datas/raw_json/_P1_staging/01-110KV屋外配电装置配置接线图wm666.taobao.com.json,0,1,train,P1,_P1_staging,full,"644.1277,838.3027,3588.9867,1327.633","644.1277,838.3027,3588.9867,1327.633","0.0,0.0,9362.0,6622.0",9362,6622,1161,datas/qa_and_png/P1_oda_output/01-110KV屋外配电装置配置接线图wm666.taobao.com.png,False,,,,False,True
_P1_staging/02-110KV屋外配电装置平面布置图wm666.taobao.com#panel_000,_P1_staging/02-110KV屋外配电装置平面布置图wm666.taobao.com,02-110KV屋外配电装置平面布置图wm666.taobao.com,datas/qa_and_png/P1_oda_output/02-110KV屋外配电装置平面布置图wm666.taobao.com.png,datas/raw_json/_P1_staging/02-110KV屋外配电装置平面布置图wm666.taobao.com.json,0,1,train,P1,_P1_staging,full,"86186.2522,165963.6462,303407.5386,512112.9305","86186.2522,165963.6462,303407.5386,512112.9305","0.0,0.0,9362.0,6622.0",9362,6622,821,datas/qa_and_png/P1_oda_output/02-110KV屋外配电装置平面布置图wm666.taobao.com.png,False,,,,False,True
_P1_staging/02-主接线wm666.taobao.com#panel_000,_P1_staging/02-主接线wm666.taobao.com,02-主接线wm666.taobao.com,datas/qa_and_png/P1_oda_output/02-主接线wm666.taobao.com.png,datas/raw_json/_P1_staging/02-主接线wm666.taobao.com.json,0,5,train,P1,_P1_staging,image_components,"1312.5583,1493.8362,1937.2638,1806.3693","644.1277,107.9512,4697.1376,2105.6288","1544.0,992.0,2987.0,2028.0",9362,6622,2111,outputs/panels/P1/P1_staging__02-主接线wm666.taobao.com__panel_000.png,True,,accept,,True,True
_P1_staging/02-主接线wm666.taobao.com#panel_001,_P1_staging/02-主接线wm666.taobao.com,02-主接线wm666.taobao.com,datas/qa_and_png/P1_oda_output/02-主接线wm666.taobao.com.png,datas/raw_json/_P1_staging/02-主接线wm666.taobao.com.json,1,5,train,P1,_P1_staging,image_components,"2637.7306,930.0097,3290.1431,1252.498","644.1277,107.9512,4697.1376,2105.6288","4605.0,2828.0,6112.0,3897.0",9362,6622,3464,outputs/panels/P1/P1_staging__02-主接线wm666.taobao.com__panel_001.png,True,,accept,,True,True
_P1_staging/02-主接线wm666.taobao.com#panel_002,_P1_staging/02-主接线wm666.taobao.com,02-主接线wm666.taobao.com,datas/qa_and_png/P1_oda_output/02-主接线wm666.taobao.com.png,datas/raw_json/_P1_staging/02-主接线wm666.taobao.com.json,2,5,train,P1,_P1_staging,image_components,"3572.8408,936.6465,4695.8388,1247.6712","644.1277,107.9512,4697.1376,2105.6288","6765.0,2844.0,9359.0,3875.0",9362,6622,4887,outputs/panels/P1/P1_staging__02-主接线wm666.taobao.com__panel_002.png,True,,accept,,True,True
_P1_staging/02-主接线wm666.taobao.com#panel_003,_P1_staging/02-主接线wm666.taobao.com,02-主接线wm666.taobao.com,datas/qa_and_png/P1_oda_output/02-主接线wm666.taobao.com.png,datas/raw_json/_P1_staging/02-主接线wm666.taobao.com.json,3,5,train,P1,_P1_staging,image_components,"1140.2556,914.021,2066.2744,1226.5541","644.1277,107.9512,4697.1376,2105.6288","1146.0,2914.0,3285.0,3950.0",9362,6622,5732,outputs/panels/P1/P1_staging__02-主接线wm666.taobao.com__panel_003.png,True,,accept,,True,True
_P1_staging/02-主接线wm666.taobao.com#panel_004,_P1_staging/02-主接线wm666.taobao.com,02-主接线wm666.taobao.com,datas/qa_and_png/P1_oda_output/02-主接线wm666.taobao.com.png,datas/raw_json/_P1_staging/02-主接线wm666.taobao.com.json,4,5,train,P1,_P1_staging,image_components,"1140.2556,406.909,2066.2744,719.442","644.1277,107.9512,4697.1376,2105.6288","1146.0,4595.0,3285.0,5631.0",9362,6622,655,outputs/panels/P1/P1_staging__02-主接线wm666.taobao.com__panel_004.png,True,,accept,,True,True
_P1_staging/03-10kV配电装置主变进线及母线桥间隔断面图wm666.taobao.com#panel_000,_P1_staging/03-10kV配电装置主变进线及母线桥间隔断面图wm666.taobao.com,03-10kV配电装置主变进线及母线桥间隔断面图wm666.taobao.com,datas/qa_and_png/P1_oda_output/03-10kV配电装置主变进线及母线桥间隔断面图wm666.taobao.com.png,datas/raw_json/_P1_staging/03-10kV配电装置主变进线及母线桥间隔断面图wm666.taobao.com.json,0,1,train,P1,_P1_staging,full,"64541.8602,6520.9077,91070.683,21370.9077","64541.8602,6520.9077,91070.683,21370.9077","0.0,0.0,9362.0,6622.0",9362,6622,1222,datas/qa_and_png/P1_oda_output/03-10kV配电装置主变进线及母线桥间隔断面图wm666.taobao.com.png,False,,,,False,True
_P1_staging/03-110KV屋外配电装置出线间隔断面图wm666.taobao.com#panel_000,_P1_staging/03-110KV屋外配电装置出线间隔断面图wm666.taobao.com,03-110KV屋外配电装置出线间隔断面图wm666.taobao.com,datas/qa_and_png/P1_oda_output/03-110KV屋外配电装置出线间隔断面图wm666.taobao.com.png,datas/raw_json/_P1_staging/03-110KV屋外配电装置出线间隔断面图wm666.taobao.com.json,0,1,val,P1,_P1_staging,full,"247884.5605,-5397.5888,415397.7083,172893.4942","247884.5605,-5397.5888,415397.7083,172893.4942","0.0,0.0,9362.0,6622.0",9362,6622,1472,datas/qa_and_png/P1_oda_output/03-110KV屋外配电装置出线间隔断面图wm666.taobao.com.png,False,,,,False,True
_P1_staging/04-110KV屋外配电装置主变进线间隔及母线PT间隔断面图wm666.taobao.com#panel_000,_P1_staging/04-110KV屋外配电装置主变进线间隔及母线PT间隔断面图wm666.taobao.com,04-110KV屋外配电装置主变进线间隔及母线PT间隔断面图wm666.taobao.com,datas/qa_and_png/P1_oda_output/04-110KV屋外配电装置主变进线间隔及母线PT间隔断面图wm666.taobao.com.png,datas/raw_json/_P1_staging/04-110KV屋外配电装置主变进线间隔及母线PT间隔断面图wm666.taobao.com.json,0,1,val,P1,_P1_staging,full,"313125.6468,103849.9856,443312.785,243111.3457","313125.6468,103849.9856,443312.785,243111.3457","0.0,0.0,9362.0,6622.0",9362,6622,892,datas/qa_and_png/P1_oda_output/04-110KV屋外配电装置主变进线间隔及母线PT间隔断面图wm666.taobao.com.png,False,,,,False,True
_P1_staging/05-110KV屋外配电装置母线分段间隔断面图wm666.taobao.com#panel_000,_P1_staging/05-110KV屋外配电装置母线分段间隔断面图wm666.taobao.com,05-110KV屋外配电装置母线分段间隔断面图wm666.taobao.com,datas/qa_and_png/P1_oda_output/05-110KV屋外配电装置母线分段间隔断面图wm666.taobao.com.png,datas/raw_json/_P1_staging/05-110KV屋外配电装置母线分段间隔断面图wm666.taobao.com.json,0,1,train,P1,_P1_staging,full,"280526.2036,129573.7399,449311.1146,268502.9839","280526.2036,129573.7399,449311.1146,268502.9839","0.0,0.0,9362.0,6622.0",9362,6622,1039,datas/qa_and_png/P1_oda_output/05-110KV屋外配电装置母线分段间隔断面图wm666.taobao.com.png,False,,,,False,True
_P1_staging/05电气主接线#panel_000,_P1_staging/05电气主接线,05电气主接线,datas/qa_and_png/P1_oda_output/05电气主接线.png,datas/raw_json/_P1_staging/05电气主接线.json,0,5,train,P1,_P1_staging,image_components,"-1025.6256,-36711.6623,246571.8376,11006.0219","-1025.6256,-61559.7735,501251.1785,34777.5756","0.0,1634.0,4615.0,4914.0",9362,6622,4021,outputs/panels/P1/P1_staging__05电气主接线__panel_000.png,True,,accept,,True,True
_P1_staging/05电气主接线#panel_001,_P1_staging/05电气主接线,05电气主接线,datas/qa_and_png/P1_oda_output/05电气主接线.png,datas/raw_json/_P1_staging/05电气主接线.json,1,5,train,P1,_P1_staging,image_components,"7451.1673,-35649.6529,242548.0436,9958.5605","-1025.6256,-61559.7735,501251.1785,34777.5756","158.0,1706.0,4540.0,4841.0",9362,6622,124,outputs/panels/P1/P1_staging__05电气主接线__panel_001.png,True,,accept,,True,True
_P1_staging/05电气主接线#panel_002,_P1_staging/05电气主接线,05电气主接线,datas/qa_and_png/P1_oda_output/05电气主接线.png,datas/raw_json/_P1_staging/05电气主接线.json,2,5,train,P1,_P1_staging,image_components,"254941.3294,-37802.7679,501251.1785,9900.3682","-1025.6256,-61559.7735,501251.1785,34777.5756","4771.0,1710.0,9362.0,4989.0",9362,6622,4,outputs/panels/P1/P1_staging__05电气主接线__panel_002.png,True,,reject,,True,False
_P1_staging/05电气主接线#panel_003,_P1_staging/05电气主接线,05电气主接线,datas/qa_and_png/P1_oda_output/05电气主接线.png,datas/raw_json/_P1_staging/05电气主接线.json,3,5,train,P1,_P1_staging,image_components,"269105.0846,-37089.9122,499909.9138,9172.9645","-1025.6256,-61559.7735,501251.1785,34777.5756","5035.0,1760.0,9337.0,4940.0",9362,6622,2,outputs/panels/P1/P1_staging__05电气主接线__panel_003.png,True,,reject,,True,False
_P1_staging/05电气主接线#panel_004,_P1_staging/05电气主接线,05电气主接线,datas/qa_and_png/P1_oda_output/05电气主接线.png,datas/raw_json/_P1_staging/05电气主接线.json,4,5,train,P1,_P1_staging,image_components,"275543.1551,-33525.634,495456.915,6219.7054","-1025.6256,-61559.7735,501251.1785,34777.5756","5155.0,1963.0,9254.0,4695.0",9362,6622,1,outputs/panels/P1/P1_staging__05电气主接线__panel_004.png,True,,reject,,True,False
_P1_staging/1#主变屏#panel_000,_P1_staging/1#主变屏,1#主变屏,datas/qa_and_png/P1_oda_output/1#主变屏.png,datas/raw_json/_P1_staging/1#主变屏.json,0,1,train,P1,_P1_staging,full,"-192.2267,-1124.336,1930.5094,2263.0314","-192.2267,-1124.336,1930.5094,2263.0314","0.0,0.0,9362.0,6622.0",9362,6622,9219,datas/qa_and_png/P1_oda_output/1#主变屏.png,False,,,,False,True
_P1_staging/1-主变保护测控柜面#panel_000,_P1_staging/1-主变保护测控柜面,1-主变保护测控柜面,datas/qa_and_png/P1_oda_output/1-主变保护测控柜面.png,datas/raw_json/_P1_staging/1-主变保护测控柜面.json,0,1,train,P1,_P1_staging,full,"0.0,0.0,421.625,297.0","0.0,0.0,421.625,297.0","0.0,0.0,9362.0,6622.0",9362,6622,1101,datas/qa_and_png/P1_oda_output/1-主变保护测控柜面.png,False,,,,False,True
_P1_staging/10-1#主变10kV侧开关柜端子排接线图#panel_000,_P1_staging/10-1#主变10kV侧开关柜端子排接线图,10-1#主变10kV侧开关柜端子排接线图,datas/qa_and_png/P1_oda_output/10-1#主变10kV侧开关柜端子排接线图.png,datas/raw_json/_P1_staging/10-1#主变10kV侧开关柜端子排接线图.json,0,1,train,P1,_P1_staging,full,"0.0,-3124.7791,6188.3186,2812.998","0.0,-3124.7791,6188.3186,2812.998","0.0,0.0,6622.0,9362.0",6622,9362,938,datas/qa_and_png/P1_oda_output/10-1#主变10kV侧开关柜端子排接线图.png,False,,,,False,True
_P1_staging/1000MW机组脱硫区电气主接线图#panel_000,_P1_staging/1000MW机组脱硫区电气主接线图,1000MW机组脱硫区电气主接线图,datas/qa_and_png/P1_oda_output/1000MW机组脱硫区电气主接线图.png,datas/raw_json/_P1_staging/1000MW机组脱硫区电气主接线图.json,0,1,train,P1,_P1_staging,full,"278535.516,131526.6279,397435.516,215626.6279","278535.516,131526.6279,397435.516,215626.6279","0.0,0.0,9362.0,6622.0",9362,6622,2012,datas/qa_and_png/P1_oda_output/1000MW机组脱硫区电气主接线图.png,False,,,,False,True
_P1_staging/1000kw水电站主接线图#panel_000,_P1_staging/1000kw水电站主接线图,1000kw水电站主接线图,datas/qa_and_png/P1_oda_output/1000kw水电站主接线图.png,datas/raw_json/_P1_staging/1000kw水电站主接线图.json,0,1,train,P1,_P1_staging,full,"-258340.9228,-2.1854,6.7736,192302.0786","-258340.9228,-2.1854,6.7736,192302.0786","0.0,0.0,9362.0,6622.0",9362,6622,736,datas/qa_and_png/P1_oda_output/1000kw水电站主接线图.png,False,,,,False,True
_P1_staging/10KV主接线图#panel_000,_P1_staging/10KV主接线图,10KV主接线图,datas/qa_and_png/P1_oda_output/10KV主接线图.png,datas/raw_json/_P1_staging/10KV主接线图.json,0,1,test,P1,_P1_staging,full,"8.9448,0.0,399.0,280.0","8.9448,0.0,399.0,280.0","0.0,0.0,9362.0,6622.0",9362,6622,263,datas/qa_and_png/P1_oda_output/10KV主接线图.png,False,,,,False,True
_P1_staging/10kV电气主接线图#panel_000,_P1_staging/10kV电气主接线图,10kV电气主接线图,datas/qa_and_png/P1_oda_output/10kV电气主接线图.png,datas/raw_json/_P1_staging/10kV电气主接线图.json,0,1,train,P1,_P1_staging,full,"925.7323,-485.8677,10980.5323,6624.3123","925.7323,-485.8677,10980.5323,6624.3123","0.0,0.0,9362.0,6622.0",9362,6622,448,datas/qa_and_png/P1_oda_output/10kV电气主接线图.png,False,,,,False,True
_P1_staging/10kv变电站主接线图#panel_000,_P1_staging/10kv变电站主接线图,10kv变电站主接线图,datas/qa_and_png/P1_oda_output/10kv变电站主接线图.png,datas/raw_json/_P1_staging/10kv变电站主接线图.json,0,1,train,P1,_P1_staging,full,"-211.267,0.0,4504.1843,3546.8686","-211.267,0.0,4504.1843,3546.8686","0.0,0.0,9362.0,6622.0",9362,6622,2792,datas/qa_and_png/P1_oda_output/10kv变电站主接线图.png,False,,,,False,True
_P1_staging/11-1#主变端子箱接线图#panel_000,_P1_staging/11-1#主变端子箱接线图,11-1#主变端子箱接线图,datas/qa_and_png/P1_oda_output/11-1#主变端子箱接线图.png,datas/raw_json/_P1_staging/11-1#主变端子箱接线图.json,0,1,train,P1,_P1_staging,full,"0.0,-3124.7791,6188.3186,900.9311","0.0,-3124.7791,6188.3186,900.9311","0.0,0.0,9362.0,6622.0",9362,6622,1073,datas/qa_and_png/P1_oda_output/11-1#主变端子箱接线图.png,False,,,,False,True
_P1_staging/110KV出线断面图#panel_000,_P1_staging/110KV出线断面图,110KV出线断面图,datas/qa_and_png/P1_oda_output/110KV出线断面图.png,datas/raw_json/_P1_staging/110KV出线断面图.json,0,1,train,P1,_P1_staging,full,"-843.096,-240.7855,1117.3562,595.2359","-843.096,-240.7855,1117.3562,595.2359","0.0,0.0,9362.0,6622.0",9362,6622,581,datas/qa_and_png/P1_oda_output/110KV出线断面图.png,False,,,,False,True
_P1_staging/110KV出线断面图wm666.taobao.com#panel_000,_P1_staging/110KV出线断面图wm666.taobao.com,110KV出线断面图wm666.taobao.com,datas/qa_and_png/P1_oda_output/110KV出线断面图wm666.taobao.com.png,datas/raw_json/_P1_staging/110KV出线断面图wm666.taobao.com.json,0,1,train,P1,_P1_staging,full,"-843.096,-240.7855,1117.3562,595.2359","-843.096,-240.7855,1117.3562,595.2359","0.0,0.0,9362.0,6622.0",9362,6622,581,datas/qa_and_png/P1_oda_output/110KV出线断面图wm666.taobao.com.png,False,,,,False,True
_P1_staging/110KV出线间隔断面图#panel_000,_P1_staging/110KV出线间隔断面图,110KV出线间隔断面图,datas/qa_and_png/P1_oda_output/110KV出线间隔断面图.png,datas/raw_json/_P1_staging/110KV出线间隔断面图.json,0,1,train,P1,_P1_staging,full,"1792.391,-144.9806,2376.9295,191.7398","1792.391,-144.9806,2376.9295,191.7398","0.0,0.0,9362.0,6622.0",9362,6622,953,datas/qa_and_png/P1_oda_output/110KV出线间隔断面图.png,False,,,,False,True
_P1_staging/110KV升压开关站一次系统图#panel_000,_P1_staging/110KV升压开关站一次系统图,110KV升压开关站一次系统图,datas/qa_and_png/P1_oda_output/110KV升压开关站一次系统图.png,datas/raw_json/_P1_staging/110KV升压开关站一次系统图.json,0,1,train,P1,_P1_staging,full,"-4411.6191,-620.066,2367.0494,1892.2087","-4411.6191,-620.066,2367.0494,1892.2087","0.0,0.0,9362.0,6622.0",9362,6622,407,datas/qa_and_png/P1_oda_output/110KV升压开关站一次系统图.png,False,,,,False,True
