panel_id,parent_drawing_key,split,phase,batch,panel_index,panel_count,split_method,panel_png_path,panel_bbox_cad,parent_normalized_json_path,parent_topology_v0_json_path,topology_v1_panel_json_path,status,error,panel_entity_count,base_segment_count,split_segment_count,intersection_count,split_event_count,split_short_segments,v1_node_count,v1_edge_count,v1_net_count,v1_isolated_edge_ratio,v1_largest_net_edge_ratio,effective_endpoint_tolerance,quality_flags,severity,anomaly_type,suggested_action,model_review_label,model_confidence,model_needs_human_review,model_reason,model_visible_cues,topology_panel_v1_review_label,topology_panel_v1_review_comment,topology_panel_v1_reviewed,topology_panel_v1_accepted,topology_panel_v1_exclude_reason,topology_panel_v1_policy_decision,topology_panel_v1_policy_exclude_reason
_P2_staging/35KV变电所设计#panel_001,_P2_staging/35KV变电所设计,train,P2,_P2_staging,1,4,image_components,outputs/panels/P2/P2_staging__35KV变电所设计__panel_001.png,"44589.3291,-84709.7419,106902.2916,22951.379",outputs/normalized_geometry/_P2_staging/35KV变电所设计.normalized.json,outputs/topology_graph/_P2_staging/35KV变电所设计.topology.v0.json,outputs/topology_panel_v1/_P2_staging/35KV变电所设计#panel_001.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,not_topology_target,0.9,True,"The panel is a structural elevation dimensioned drawing, not a wiring or topology graph target.","Structural drawing with dimension length annotations present; No topology edges, nodes, or network elements visible; Metadata shows zero node, edge, and net counts",not_topology_target,"model: The panel is a structural elevation dimensioned drawing, not a wiring or topology graph target.",True,False,not_topology_target,badcase,not_topology_target
_P2_staging/变电所、配电所 (gb4728_11_1.3-1)#panel_000,_P2_staging/变电所、配电所 (gb4728_11_1.3-1),train,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/变电所、配电所 (gb4728_11_1.3-1).png,"494.2153,-233.2141,501.7153,-225.7141",outputs/normalized_geometry/_P2_staging/变电所、配电所 (gb4728_11_1.3-1).normalized.json,outputs/topology_graph/_P2_staging/变电所、配电所 (gb4728_11_1.3-1).topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所、配电所 (gb4728_11_1.3-1)#panel_000.topology.v1.json,ok,,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0053,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,bad_geometry,0.98,True,"The panel has no detectable topology elements, is effectively blank, and cannot be used for topology graph extraction.","No visible wiring, symbols, or topology diagram content; All v1 node, edge, and net counts are 0; Quality flags indicate no edges or nets are present",bad_geometry,"model: The panel has no detectable topology elements, is effectively blank, and cannot be used for topology graph extraction.",True,False,bad_geometry,badcase,bad_geometry
_P2_staging/变电所、配电所 (gb4728_11_1.3-2)#panel_000,_P2_staging/变电所、配电所 (gb4728_11_1.3-2),train,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/变电所、配电所 (gb4728_11_1.3-2).png,"0.0,-232.8889,503.1412,0.0",outputs/normalized_geometry/_P2_staging/变电所、配电所 (gb4728_11_1.3-2).normalized.json,outputs/topology_graph/_P2_staging/变电所、配电所 (gb4728_11_1.3-2).topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所、配电所 (gb4728_11_1.3-2)#panel_000.topology.v1.json,ok,,2,0,0,0,0,0,0,0,0,0.0,0.0,0.2772,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,bad_geometry,0.98,True,"The panel has no detectable topology elements and is nearly unreadable, making it unusable for topology graph extraction.","Extremely faint, barely visible drawing lines with no clear topology content; All v1 topology counts (nodes, edges, nets) are 0; Quality flags indicate no edges or nets are present",bad_geometry,"model: The panel has no detectable topology elements and is nearly unreadable, making it unusable for topology graph extraction.",True,False,bad_geometry,badcase,bad_geometry
_P2_staging/变电所全套图纸wm666.taobao.com#panel_001,_P2_staging/变电所全套图纸wm666.taobao.com,train,P2,_P2_staging,1,9,image_components,outputs/panels/P2/P2_staging__变电所全套图纸wm666.taobao.com__panel_001.png,"45371.9834,-5926.2953,301570.2959,88042.3516",outputs/normalized_geometry/_P2_staging/变电所全套图纸wm666.taobao.com.normalized.json,outputs/topology_graph/_P2_staging/变电所全套图纸wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所全套图纸wm666.taobao.com#panel_001.topology.v1.json,ok,,1,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,needs_panel_split,0.98,True,Single panel contains multiple independent separated diagrams that must be split before any topology graph processing,"Left-side substation civil site layout drawing; Top-right M view pipe/hole grid diagram; 5 distinct cross-section diagrams (A-A, B-B, D-D, E-E, C-C) present as separate regions; Bottom-right title block table as independent region; No topology edges/nodes/nets detected in the combined panel",needs_panel_split,model: Single panel contains multiple independent separated diagrams that must be split before any topology graph processing,True,False,needs_panel_split,badcase,multi_subfigure_badcase
_P2_staging/变电所全套图纸wm666.taobao.com#panel_003,_P2_staging/变电所全套图纸wm666.taobao.com,train,P2,_P2_staging,3,9,image_components,outputs/panels/P2/P2_staging__变电所全套图纸wm666.taobao.com__panel_003.png,"72673.5938,2247.3089,167901.6111,81314.4189",outputs/normalized_geometry/_P2_staging/变电所全套图纸wm666.taobao.com.normalized.json,outputs/topology_graph/_P2_staging/变电所全套图纸wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所全套图纸wm666.taobao.com#panel_003.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,not_topology_target,0.98,True,"The panel is an architectural building layout plan, not a wiring or topology graph target.","North arrow and architectural dimension lines present; Room labels for power generation room and substation room are visible; No wiring, topology nodes or network edges appear in the diagram",not_topology_target,"model: The panel is an architectural building layout plan, not a wiring or topology graph target.",True,False,not_topology_target,badcase,not_topology_target
_P2_staging/变电所全套图纸wm666.taobao.com#panel_004,_P2_staging/变电所全套图纸wm666.taobao.com,train,P2,_P2_staging,4,9,image_components,outputs/panels/P2/P2_staging__变电所全套图纸wm666.taobao.com__panel_004.png,"45371.9834,-101062.5999,301570.2959,-7093.953",outputs/normalized_geometry/_P2_staging/变电所全套图纸wm666.taobao.com.normalized.json,outputs/topology_graph/_P2_staging/变电所全套图纸wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所全套图纸wm666.taobao.com#panel_004.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,not_topology_target,0.9,True,"The panel contains a substation grounding building layout plan, supporting text notes, material table and title block, with no valid wiring/topology graph content for extraction.","Left region is a dimensioned building floor plan with marked rooms and north arrow; Right region includes explanatory text, main material table, and standard CAD drawing title block, no topology wiring elements present",not_topology_target,"model: The panel contains a substation grounding building layout plan, supporting text notes, material table and title block, with no valid wiring/topology graph content for extraction.",True,False,not_topology_target,badcase,not_topology_target
_P2_staging/变电所全套图纸wm666.taobao.com#panel_005,_P2_staging/变电所全套图纸wm666.taobao.com,train,P2,_P2_staging,5,9,image_components,outputs/panels/P2/P2_staging__变电所全套图纸wm666.taobao.com__panel_005.png,"311289.6693,-101062.5999,567487.9819,-7093.953",outputs/normalized_geometry/_P2_staging/变电所全套图纸wm666.taobao.com.normalized.json,outputs/topology_graph/_P2_staging/变电所全套图纸wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所全套图纸wm666.taobao.com#panel_005.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,not_topology_target,0.95,True,"The panel is a substation physical floor layout plan with associated equipment table and title block, not an electrical wiring/topology graph target.","Shows physical room layout with dimension markings for equipment placement; Contains main equipment schedule table, descriptive notes, and title block; No electrical connection/wiring topology content present",not_topology_target,"model: The panel is a substation physical floor layout plan with associated equipment table and title block, not an electrical wiring/topology graph target.",True,False,not_topology_target,badcase,not_topology_target
_P2_staging/变电所全套图纸wm666.taobao.com#panel_006,_P2_staging/变电所全套图纸wm666.taobao.com,train,P2,_P2_staging,6,9,image_components,outputs/panels/P2/P2_staging__变电所全套图纸wm666.taobao.com__panel_006.png,"338591.2797,-92888.9957,436767.871,-13821.8857",outputs/normalized_geometry/_P2_staging/变电所全套图纸wm666.taobao.com.normalized.json,outputs/topology_graph/_P2_staging/变电所全套图纸wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所全套图纸wm666.taobao.com#panel_006.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,not_topology_target,0.98,True,"This panel is a substation building layout plan, not a wiring/topology graph target.","Room dimension lines and labels (e.g. 发电室, 变配电室) present; No topology nodes, edges or wiring diagrams detected; Embedded pipe construction notes visible",not_topology_target,"model: This panel is a substation building layout plan, not a wiring/topology graph target.",True,False,not_topology_target,badcase,not_topology_target
_P2_staging/变电所全套图纸wm666.taobao.com#panel_008,_P2_staging/变电所全套图纸wm666.taobao.com,train,P2,_P2_staging,8,9,image_components,outputs/panels/P2/P2_staging__变电所全套图纸wm666.taobao.com__panel_008.png,"-122696.7307,-169954.4067,71909.1487,-112850.3828",outputs/normalized_geometry/_P2_staging/变电所全套图纸wm666.taobao.com.normalized.json,outputs/topology_graph/_P2_staging/变电所全套图纸wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所全套图纸wm666.taobao.com#panel_008.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,needs_panel_split,0.98,True,"The panel contains multiple visually independent, disconnected electrical topology diagrams separated by blank space that must be split into separate panels for topology graph use.","Two separate unconnected horizontal bus bar sections with no interconnections; Distinct left, middle, and right schematic groups are separated by whitespace, forming independent diagrams",not_topology_target,"model: The panel contains multiple visually independent, disconnected electrical topology diagrams separated by blank space that must be split into separate panels for topology graph use.",True,False,not_topology_target,badcase,not_topology_target
_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-1)#panel_000,_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-1),train,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/变电所（示出改变电压） (gb4728_11_2.9-1).png,"491.5964,-236.4419,505.1697,-225.8778",outputs/normalized_geometry/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-1).normalized.json,outputs/topology_graph/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-1).topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-1)#panel_000.topology.v1.json,ok,,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0086,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,bad_geometry,0.95,True,"Extremely faint linework is nearly unreadable against the white background, resulting in no usable topology elements extracted.","Faint light gray lines are barely perceptible on white background; v1 topology extraction returned zero nodes, edges, and nets",bad_geometry,"model: Extremely faint linework is nearly unreadable against the white background, resulting in no usable topology elements extracted.",True,False,bad_geometry,badcase,bad_geometry
_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-2)#panel_000,_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-2),test,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/变电所（示出改变电压） (gb4728_11_2.9-2).png,"0.0,-236.6947,505.4455,0.0",outputs/normalized_geometry/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-2).normalized.json,outputs/topology_graph/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-2).topology.v0.json,outputs/topology_panel_v1/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-2)#panel_000.topology.v1.json,ok,,3,0,0,0,0,0,0,0,0,0.0,0.0,0.2791,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,still_fragmented,0.9,True,"Extracted topology has zero nodes, edges, and nets, so it is completely fragmented and not usable as a baseline graph.",Quality flags note no edges and no nets detected; All v1 graph element counts are 0,bad_geometry,,True,False,bad_geometry,badcase,bad_geometry
_P2_staging/杆上变电站 (gb4728_11_2.11-1)#panel_000,_P2_staging/杆上变电站 (gb4728_11_2.11-1),train,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/杆上变电站 (gb4728_11_2.11-1).png,"497.0407,-232.9902,502.0407,-226.7402",outputs/normalized_geometry/_P2_staging/杆上变电站 (gb4728_11_2.11-1).normalized.json,outputs/topology_graph/_P2_staging/杆上变电站 (gb4728_11_2.11-1).topology.v0.json,outputs/topology_panel_v1/_P2_staging/杆上变电站 (gb4728_11_2.11-1)#panel_000.topology.v1.json,ok,,2,0,0,0,0,0,0,0,0,0.0,0.0,0.004,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,bad_geometry,0.9,True,"No valid topology elements are detected in the panel, making it unusable for topology graph generation.","All v1 edge, node, net counts are 0; Quality flags indicate no edges or nets present; Image only contains faint empty circles with no topology content",bad_geometry,,True,False,bad_geometry,badcase,bad_geometry
_P2_staging/杆上变电站 (gb4728_11_2.11-2)#panel_000,_P2_staging/杆上变电站 (gb4728_11_2.11-2),train,P2,_P2_staging,0,1,full,datas/qa_and_png/P2_oda_output/杆上变电站 (gb4728_11_2.11-2).png,"0.0,-232.5544,501.6102,0.0",outputs/normalized_geometry/_P2_staging/杆上变电站 (gb4728_11_2.11-2).normalized.json,outputs/topology_graph/_P2_staging/杆上变电站 (gb4728_11_2.11-2).topology.v0.json,outputs/topology_panel_v1/_P2_staging/杆上变电站 (gb4728_11_2.11-2)#panel_000.topology.v1.json,ok,,3,0,0,0,0,0,0,0,0,0.0,0.0,0.2764,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,not_topology_target,0.92,True,The panel contains only a standalone electrical symbol rather than a complete wiring/topology graph target.,"Only GB 4728 pole-mounted substation symbol is present; Extracted topology has 0 nodes, 0 edges, 0 nets, no topology structure exists",bad_geometry,,True,False,bad_geometry,badcase,bad_geometry
_P2_staging/某厂房变电所平面#panel_001,_P2_staging/某厂房变电所平面,train,P2,_P2_staging,1,2,image_components,outputs/panels/P2/P2_staging__某厂房变电所平面__panel_001.png,"2016.4529,-177484.7342,141764.8883,-84401.3554",outputs/normalized_geometry/_P2_staging/某厂房变电所平面.normalized.json,outputs/topology_graph/_P2_staging/某厂房变电所平面.topology.v0.json,outputs/topology_panel_v1/_P2_staging/某厂房变电所平面#panel_001.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,needs_panel_split,0.98,True,"The panel contains multiple independent building plan diagrams, notes sections, and title block regions that require splitting before further processing.","Three distinct separate floor plan diagrams (13.000m plan, 23.0m plan, lower small plan) are present; Discrete notes section, table, and title block areas exist as separate independent regions; Metadata shows 0 nodes, edges, nets detected across the panel",needs_panel_split,"model: The panel contains multiple independent building plan diagrams, notes sections, and title block regions that require splitting before further processing.",True,False,needs_panel_split,badcase,multi_subfigure_badcase
_P2_staging/某厂房变电所平面wm666.taobao.com#panel_001,_P2_staging/某厂房变电所平面wm666.taobao.com,train,P2,_P2_staging,1,2,image_components,outputs/panels/P2/P2_staging__某厂房变电所平面wm666.taobao.com__panel_001.png,"2016.4529,-177484.7342,141764.8883,-84401.3554",outputs/normalized_geometry/_P2_staging/某厂房变电所平面wm666.taobao.com.normalized.json,outputs/topology_graph/_P2_staging/某厂房变电所平面wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1/_P2_staging/某厂房变电所平面wm666.taobao.com#panel_001.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,needs_panel_split,0.98,True,"Panel contains multiple independent building plan diagrams, text blocks, and tables that require splitting before further topology assessment.","Three distinct independent floor plan diagrams (13.000m plan, 23.0m plan, lower small plan) are present; Separate text notes section and title block table regions are visible as independent regions",needs_panel_split,"model: Panel contains multiple independent building plan diagrams, text blocks, and tables that require splitting before further topology assessment.",True,False,needs_panel_split,badcase,multi_subfigure_badcase
_P2_staging/电站、变电所电气及设备04#panel_004,_P2_staging/电站、变电所电气及设备04,train,P2,_P2_staging,4,5,image_components,outputs/panels/P2/P2_staging__电站、变电所电气及设备04__panel_004.png,"1009752.6821,-1332242.7734,1371363.2334,-1166832.2691",outputs/normalized_geometry/_P2_staging/电站、变电所电气及设备04.normalized.json,outputs/topology_graph/_P2_staging/电站、变电所电气及设备04.topology.v0.json,outputs/topology_panel_v1/_P2_staging/电站、变电所电气及设备04#panel_004.topology.v1.json,ok,,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets,high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,needs_panel_split,0.92,True,"The image contains multiple independent, border-separated sub-diagrams each with distinct section titles that need to be split before topology processing.","Multiple bounded regions with unique title headers (e.g. 交流输入开关, 交流接触器, 蓄电池熔断器) are present; No interconnections exist between the separated sub-diagram regions, each is an independent topology target",needs_panel_split,"model: The image contains multiple independent, border-separated sub-diagrams each with distinct section titles that need to be split before topology processing.",True,False,needs_panel_split,badcase,multi_subfigure_badcase
