drawing_key,split,phase,raw_json_path,normalized_json_path,entity_count,bbox_entity_count,text_count,type_count_json,drawing_bbox
_P2_staging/移动变电所 (gb4728_11_2.12-1),train,P2,datas/raw_json/_P2_staging/移动变电所 (gb4728_11_2.12-1).json,outputs/normalized_geometry/_P2_staging/移动变电所 (gb4728_11_2.12-1).normalized.json,3,3,0,"{""CIRCLE"": 3}","496.2153,-231.7991,501.2153,-225.9678"
_P2_staging/运行的移动变电站,test,P2,datas/raw_json/_P2_staging/运行的移动变电站.json,outputs/normalized_geometry/_P2_staging/运行的移动变电站.normalized.json,4,3,0,"{""CIRCLE"": 3, ""HATCH"": 1}","903.3947,572.2067,915.3947,582.2067"
_P3_staging_batch1/3.10.9室外保护罩,train,P3,datas/raw_json/_P3_staging_batch1/3.10.9室外保护罩.json,outputs/normalized_geometry/_P3_staging_batch1/3.10.9室外保护罩.normalized.json,12,12,0,"{""LINE"": 12}","2454.6021,2010.5605,2784.2668,2183.6573"
_P3_staging_batch1/保护接地,train,P3,datas/raw_json/_P3_staging_batch1/保护接地.json,outputs/normalized_geometry/_P3_staging_batch1/保护接地.normalized.json,7,6,0,"{""CIRCLE"": 1, ""LINE"": 5, ""POINT"": 1}","-13.1939,-33.1939,13.1939,0.0"
_P3_staging_batch1/保护接地 (gb4728_3_4-3),train,P3,datas/raw_json/_P3_staging_batch1/保护接地 (gb4728_3_4-3).json,outputs/normalized_geometry/_P3_staging_batch1/保护接地 (gb4728_3_4-3).normalized.json,5,5,0,"{""CIRCLE"": 1, ""LINE"": 4}","139.0282,201.5293,149.0934,216.0719"
_P3_staging_batch1/保护用充气放电管(gb4728_9_6.13),train,P3,datas/raw_json/_P3_staging_batch1/保护用充气放电管(gb4728_9_6.13).json,outputs/normalized_geometry/_P3_staging_batch1/保护用充气放电管(gb4728_9_6.13).normalized.json,6,6,0,"{""CIRCLE"": 1, ""LINE"": 2, ""LWPOLYLINE"": 3}","33.4601,-346.8606,43.4601,-329.0605"
_P3_staging_batch1/过电流保护的电磁操作 (gb4728_3_2-20),val,P3,datas/raw_json/_P3_staging_batch1/过电流保护的电磁操作 (gb4728_3_2-20).json,outputs/normalized_geometry/_P3_staging_batch1/过电流保护的电磁操作 (gb4728_3_2-20).normalized.json,4,4,0,"{""ARC"": 1, ""LINE"": 3}","83.228,215.499,98.228,227.9953"
_P3_staging_batch2/3XGN2高压开关柜(43),train,P3,datas/raw_json/_P3_staging_batch2/3XGN2高压开关柜(43).json,outputs/normalized_geometry/_P3_staging_batch2/3XGN2高压开关柜(43).normalized.json,16,14,0,"{""DIMENSION"": 2, ""INSERT"": 2, ""LINE"": 12}","-125.0,-25.0,925.0,1460.0"
_P3_staging_batch2/开关柜底座及基础图,train,P3,datas/raw_json/_P3_staging_batch2/开关柜底座及基础图.json,outputs/normalized_geometry/_P3_staging_batch2/开关柜底座及基础图.normalized.json,8,7,0,"{""DIMENSION"": 1, ""INSERT"": 7}","668.3056,807.2076,3668.3061,807.208"
_P3_staging_batch4/DXN8B-T接线图,train,P3,datas/raw_json/_P3_staging_batch4/DXN8B-T接线图.json,outputs/normalized_geometry/_P3_staging_batch4/DXN8B-T接线图.normalized.json,3,3,1,"{""INSERT"": 2, ""TEXT"": 1}","0.0,0.0,882.0696,334.315"
