drawing_key,drawing_id,split,phase,batch,status,topology_ready,edge_count,node_count,net_count,largest_net_edge_ratio,isolated_edge_ratio,quality_flags,topology_json_path,png_path,review_label,comment
_P2_staging/变电所、配电所 (gb4728_11_1.3-2),变电所、配电所 (gb4728_11_1.3-2),train,P2,_P2_staging,ok,False,0,0,0,0.0,0.0,no_edges;not_topology_ready,outputs/topology_graph/_P2_staging/变电所、配电所 (gb4728_11_1.3-2).topology.v0.json,datas/qa_and_png/P2_oda_output/变电所、配电所 (gb4728_11_1.3-2).png,bad_geometry,
_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-1),变电所（示出改变电压） (gb4728_11_2.9-1),train,P2,_P2_staging,ok,False,0,0,0,0.0,0.0,no_edges;not_topology_ready,outputs/topology_graph/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-1).topology.v0.json,datas/qa_and_png/P2_oda_output/变电所（示出改变电压） (gb4728_11_2.9-1).png,bad_geometry,
_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-2),变电所（示出改变电压） (gb4728_11_2.9-2),test,P2,_P2_staging,ok,False,0,0,0,0.0,0.0,no_edges;not_topology_ready,outputs/topology_graph/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-2).topology.v0.json,datas/qa_and_png/P2_oda_output/变电所（示出改变电压） (gb4728_11_2.9-2).png,bad_geometry,
_P2_staging/杆上变电站 (gb4728_11_2.11-1),杆上变电站 (gb4728_11_2.11-1),train,P2,_P2_staging,ok,False,0,0,0,0.0,0.0,no_edges;not_topology_ready,outputs/topology_graph/_P2_staging/杆上变电站 (gb4728_11_2.11-1).topology.v0.json,datas/qa_and_png/P2_oda_output/杆上变电站 (gb4728_11_2.11-1).png,bad_geometry,
_P2_staging/杆上变电站 (gb4728_11_2.11-2),杆上变电站 (gb4728_11_2.11-2),train,P2,_P2_staging,ok,False,0,0,0,0.0,0.0,no_edges;not_topology_ready,outputs/topology_graph/_P2_staging/杆上变电站 (gb4728_11_2.11-2).topology.v0.json,datas/qa_and_png/P2_oda_output/杆上变电站 (gb4728_11_2.11-2).png,bad_geometry,
_P2_staging/移动变电所 (gb4728-11_2.12-2),移动变电所 (gb4728-11_2.12-2),val,P2,_P2_staging,ok,False,0,0,0,0.0,0.0,no_edges;not_topology_ready,outputs/topology_graph/_P2_staging/移动变电所 (gb4728-11_2.12-2).topology.v0.json,datas/qa_and_png/P2_oda_output/移动变电所 (gb4728-11_2.12-2).png,bad_geometry,
_P2_staging/移动变电所 (gb4728_11_2.12-1),移动变电所 (gb4728_11_2.12-1),train,P2,_P2_staging,ok,False,0,0,0,0.0,0.0,no_edges;not_topology_ready,outputs/topology_graph/_P2_staging/移动变电所 (gb4728_11_2.12-1).topology.v0.json,datas/qa_and_png/P2_oda_output/移动变电所 (gb4728_11_2.12-1).png,bad_geometry,
_P2_staging/运行的移动变电站,运行的移动变电站,test,P2,_P2_staging,ok,False,0,0,0,0.0,0.0,no_edges;not_topology_ready,outputs/topology_graph/_P2_staging/运行的移动变电站.topology.v0.json,datas/qa_and_png/P2_oda_output/运行的移动变电站.png,bad_geometry,
_P3_staging_batch1/02(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(一)),02(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(一)),test,P3,_P3_staging_batch1,ok,True,311,582,277,0.0129,0.8232,high_isolated_ratio,outputs/topology_graph/_P3_staging_batch1/02(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(一)).topology.v0.json,datas/qa_and_png/P3_oda_output/02(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(一)).png,bad_geometry,
_P3_staging_batch1/03(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(二)),03(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(二)),train,P3,_P3_staging_batch1,ok,True,313,562,271,0.0447,0.8019,high_isolated_ratio,outputs/topology_graph/_P3_staging_batch1/03(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(二)).topology.v0.json,datas/qa_and_png/P3_oda_output/03(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(二)).png,bad_geometry,
_P3_staging_batch1/04(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(一)),04(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(一)),test,P3,_P3_staging_batch1,ok,True,311,582,277,0.0129,0.8232,high_isolated_ratio,outputs/topology_graph/_P3_staging_batch1/04(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(一)).topology.v0.json,datas/qa_and_png/P3_oda_output/04(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(一)).png,bad_geometry,
_P3_staging_batch1/04(RCS-941A背面接线图(二)),04(RCS-941A背面接线图(二)),train,P3,_P3_staging_batch1,ok,True,263,492,236,0.0266,0.8669,high_isolated_ratio,outputs/topology_graph/_P3_staging_batch1/04(RCS-941A背面接线图(二)).topology.v0.json,datas/qa_and_png/P3_oda_output/04(RCS-941A背面接线图(二)).png,bad_geometry,
_P3_staging_batch1/04(RCS-9702A背面接线图(二)),04(RCS-9702A背面接线图(二)),train,P3,_P3_staging_batch1,ok,True,302,568,275,0.0232,0.8775,high_isolated_ratio,outputs/topology_graph/_P3_staging_batch1/04(RCS-9702A背面接线图(二)).topology.v0.json,datas/qa_and_png/P3_oda_output/04(RCS-9702A背面接线图(二)).png,bad_geometry,
_P3_staging_batch1/04(RCS-9705A背面接线图(二) ),04(RCS-9705A背面接线图(二) ),train,P3,_P3_staging_batch1,ok,True,261,496,242,0.0536,0.9195,high_isolated_ratio,outputs/topology_graph/_P3_staging_batch1/04(RCS-9705A背面接线图(二) ).topology.v0.json,datas/qa_and_png/P3_oda_output/04(RCS-9705A背面接线图(二) ).png,bad_geometry,
_P3_staging_batch1/04(RCS-9705A背面接线图(二)),04(RCS-9705A背面接线图(二)),val,P3,_P3_staging_batch1,ok,True,245,457,221,0.0571,0.8816,high_isolated_ratio,outputs/topology_graph/_P3_staging_batch1/04(RCS-9705A背面接线图(二)).topology.v0.json,datas/qa_and_png/P3_oda_output/04(RCS-9705A背面接线图(二)).png,bad_geometry,
_P3_staging_batch1/04(RCS-9794背面接线图),04(RCS-9794背面接线图),train,P3,_P3_staging_batch1,ok,True,206,380,182,0.0194,0.8447,high_isolated_ratio,outputs/topology_graph/_P3_staging_batch1/04(RCS-9794背面接线图).topology.v0.json,datas/qa_and_png/P3_oda_output/04(RCS-9794背面接线图).png,bad_geometry,
_P3_staging_batch1/05(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(二)),05(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(二)),train,P3,_P3_staging_batch1,ok,True,313,562,271,0.0447,0.8019,high_isolated_ratio,outputs/topology_graph/_P3_staging_batch1/05(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(二)).topology.v0.json,datas/qa_and_png/P3_oda_output/05(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(二)).png,bad_geometry,
_P3_staging_batch1/05(RCS-9681B背面接线图(二)),05(RCS-9681B背面接线图(二)),train,P3,_P3_staging_batch1,ok,True,153,294,144,0.0458,0.9281,high_isolated_ratio,outputs/topology_graph/_P3_staging_batch1/05(RCS-9681B背面接线图(二)).topology.v0.json,datas/qa_and_png/P3_oda_output/05(RCS-9681B背面接线图(二)).png,bad_geometry,
_P3_staging_batch1/06(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(一)),06(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(一)),train,P3,_P3_staging_batch1,ok,True,311,582,277,0.0129,0.8232,high_isolated_ratio,outputs/topology_graph/_P3_staging_batch1/06(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(一)).topology.v0.json,datas/qa_and_png/P3_oda_output/06(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(一)).png,bad_geometry,
_P3_staging_batch1/06(RCS-9702A背面接线图(四)),06(RCS-9702A背面接线图(四)),train,P3,_P3_staging_batch1,ok,True,302,568,275,0.0232,0.8775,high_isolated_ratio,outputs/topology_graph/_P3_staging_batch1/06(RCS-9702A背面接线图(四)).topology.v0.json,datas/qa_and_png/P3_oda_output/06(RCS-9702A背面接线图(四)).png,bad_geometry,
_P3_staging_batch1/06(RCS-9703A背面接线图( 二) ),06(RCS-9703A背面接线图( 二) ),train,P3,_P3_staging_batch1,ok,True,323,614,299,0.0217,0.9102,high_isolated_ratio,outputs/topology_graph/_P3_staging_batch1/06(RCS-9703A背面接线图( 二) ).topology.v0.json,datas/qa_and_png/P3_oda_output/06(RCS-9703A背面接线图( 二) ).png,bad_geometry,
_P3_staging_batch1/06(RCS-9705A背面接线图(二)),06(RCS-9705A背面接线图(二)),train,P3,_P3_staging_batch1,ok,True,243,458,221,0.0576,0.8971,high_isolated_ratio,outputs/topology_graph/_P3_staging_batch1/06(RCS-9705A背面接线图(二)).topology.v0.json,datas/qa_and_png/P3_oda_output/06(RCS-9705A背面接线图(二)).png,bad_geometry,
_P3_staging_batch1/07(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(二)),07(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(二)),train,P3,_P3_staging_batch1,ok,True,313,562,271,0.0447,0.8019,high_isolated_ratio,outputs/topology_graph/_P3_staging_batch1/07(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(二)).topology.v0.json,datas/qa_and_png/P3_oda_output/07(PRCK97-YB3电压隔离并列柜RCS-9663D背面接线图(二)).png,bad_geometry,
_P3_staging_batch1/11(RCS-9661B背面接线图(四)),11(RCS-9661B背面接线图(四)),val,P3,_P3_staging_batch1,ok,True,242,440,210,0.0289,0.8099,high_isolated_ratio,outputs/topology_graph/_P3_staging_batch1/11(RCS-9661B背面接线图(四)).topology.v0.json,datas/qa_and_png/P3_oda_output/11(RCS-9661B背面接线图(四)).png,bad_geometry,
_P3_staging_batch1/QA-D401-04(10kV线路开关柜端子排图(F2-F10)),QA-D401-04(10kV线路开关柜端子排图(F2-F10)),train,P3,_P3_staging_batch1,ok,True,333,616,290,0.021,0.8048,high_isolated_ratio,outputs/topology_graph/_P3_staging_batch1/QA-D401-04(10kV线路开关柜端子排图(F2-F10)).topology.v0.json,datas/qa_and_png/P3_oda_output/QA-D401-04(10kV线路开关柜端子排图(F2-F10)).png,bad_geometry,
_P3_staging_batch1/灭磁单元电气接线图(II),灭磁单元电气接线图(II),train,P3,_P3_staging_batch1,ok,True,254,473,227,0.0157,0.8504,high_isolated_ratio,outputs/topology_graph/_P3_staging_batch1/灭磁单元电气接线图(II).topology.v0.json,datas/qa_and_png/P3_oda_output/灭磁单元电气接线图(II).png,bad_geometry,
_P3_staging_batch2/1号炉PLC柜端子外部接线图2,1号炉PLC柜端子外部接线图2,train,P3,_P3_staging_batch2,ok,True,107,200,94,0.0748,0.8318,high_isolated_ratio,outputs/topology_graph/_P3_staging_batch2/1号炉PLC柜端子外部接线图2.topology.v0.json,datas/qa_and_png/P3_oda_output/1号炉PLC柜端子外部接线图2.png,bad_geometry,
_P3_staging_batch2/1号炉PLC柜端子外部接线图3,1号炉PLC柜端子外部接线图3,train,P3,_P3_staging_batch2,ok,True,105,202,98,0.0476,0.9143,high_isolated_ratio,outputs/topology_graph/_P3_staging_batch2/1号炉PLC柜端子外部接线图3.topology.v0.json,datas/qa_and_png/P3_oda_output/1号炉PLC柜端子外部接线图3.png,bad_geometry,
_P3_staging_batch2/1号炉氧枪柜端子外部接线图2,1号炉氧枪柜端子外部接线图2,train,P3,_P3_staging_batch2,ok,True,128,240,113,0.0312,0.8281,high_isolated_ratio,outputs/topology_graph/_P3_staging_batch2/1号炉氧枪柜端子外部接线图2.topology.v0.json,datas/qa_and_png/P3_oda_output/1号炉氧枪柜端子外部接线图2.png,bad_geometry,
_P3_staging_batch2/开关柜底座及基础图,开关柜底座及基础图,train,P3,_P3_staging_batch2,ok,False,0,0,0,0.0,0.0,no_edges;not_topology_ready,outputs/topology_graph/_P3_staging_batch2/开关柜底座及基础图.topology.v0.json,datas/qa_and_png/P3_oda_output/开关柜底座及基础图.png,bad_geometry,
_P3_staging_batch2/非电量保护单元端子排图,非电量保护单元端子排图,val,P3,_P3_staging_batch2,ok,True,202,122,12,0.8911,0.0347,dominant_component,outputs/topology_graph/_P3_staging_batch2/非电量保护单元端子排图.topology.v0.json,datas/qa_and_png/P3_oda_output/非电量保护单元端子排图.png,bad_geometry,
_P3_staging_batch3/PLP01-54线路保护柜端子排接线示意图(B066-500-2703)wm666.taobao.com,PLP01-54线路保护柜端子排接线示意图(B066-500-2703)wm666.taobao.com,train,P3,_P3_staging_batch3,ok,True,683,1236,578,0.0205,0.8126,high_isolated_ratio,outputs/topology_graph/_P3_staging_batch3/PLP01-54线路保护柜端子排接线示意图(B066-500-2703)wm666.taobao.com.topology.v0.json,datas/qa_and_png/P3_oda_output/PLP01-54线路保护柜端子排接线示意图(B066-500-2703)wm666.taobao.com.png,bad_geometry,
_P3_staging_batch3/PLP02-29SP型保护柜端子排接线示意图(B066-500-2608)wm666.taobao.com,PLP02-29SP型保护柜端子排接线示意图(B066-500-2608)wm666.taobao.com,train,P3,_P3_staging_batch3,ok,True,1428,2574,1211,0.0336,0.8207,high_isolated_ratio,outputs/topology_graph/_P3_staging_batch3/PLP02-29SP型保护柜端子排接线示意图(B066-500-2608)wm666.taobao.com.topology.v0.json,datas/qa_and_png/P3_oda_output/PLP02-29SP型保护柜端子排接线示意图(B066-500-2608)wm666.taobao.com.png,bad_geometry,
_P3_staging_batch3/PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com,PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com,train,P3,_P3_staging_batch3,ok,True,715,1300,616,0.0294,0.8378,high_isolated_ratio,outputs/topology_graph/_P3_staging_batch3/PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com.topology.v0.json,datas/qa_and_png/P3_oda_output/PLP02-54T线路保护柜端子排接线示意图(B066-500-2704)wm666.taobao.com.png,needs_intersection_split,
_P3_staging_batch3/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com,PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com,val,P3,_P3_staging_batch3,ok,True,1124,2082,988,0.0196,0.8514,high_isolated_ratio,outputs/topology_graph/_P3_staging_batch3/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com.topology.v0.json,datas/qa_and_png/P3_oda_output/PLP21-01中断路器保护柜端子排接线示意图(B066-500-2706)wm666.taobao.com.png,needs_intersection_split,
_P3_staging_batch3/PLP21-01边断路器保护柜端子排接线示意图(B066-500-2705)wm666.taobao.com,PLP21-01边断路器保护柜端子排接线示意图(B066-500-2705)wm666.taobao.com,train,P3,_P3_staging_batch3,ok,True,1131,2087,986,0.0195,0.8426,high_isolated_ratio,outputs/topology_graph/_P3_staging_batch3/PLP21-01边断路器保护柜端子排接线示意图(B066-500-2705)wm666.taobao.com.topology.v0.json,datas/qa_and_png/P3_oda_output/PLP21-01边断路器保护柜端子排接线示意图(B066-500-2705)wm666.taobao.com.png,needs_intersection_split,
_P3_staging_batch3/攀枝花-西昌220千伏线路PLP02-22型保护端子排线示意图(B066-500-2602)wm666.taobao.com,攀枝花-西昌220千伏线路PLP02-22型保护端子排线示意图(B066-500-2602)wm666.taobao.com,train,P3,_P3_staging_batch3,ok,True,1298,2369,1115,0.0231,0.8313,high_isolated_ratio,outputs/topology_graph/_P3_staging_batch3/攀枝花-西昌220千伏线路PLP02-22型保护端子排线示意图(B066-500-2602)wm666.taobao.com.topology.v0.json,datas/qa_and_png/P3_oda_output/攀枝花-西昌220千伏线路PLP02-22型保护端子排线示意图(B066-500-2602)wm666.taobao.com.png,bad_geometry,
"_P3_staging_batch3/攀枝花-青龙山I,II回,攀枝花-施家坪I,II回PLP02-22型保护柜端子排接线示意图(B066-500-2605)wm666.taobao.com","攀枝花-青龙山I,II回,攀枝花-施家坪I,II回PLP02-22型保护柜端子排接线示意图(B066-500-2605)wm666.taobao.com",train,P3,_P3_staging_batch3,ok,True,1290,2366,1118,0.0233,0.8403,high_isolated_ratio,"outputs/topology_graph/_P3_staging_batch3/攀枝花-青龙山I,II回,攀枝花-施家坪I,II回PLP02-22型保护柜端子排接线示意图(B066-500-2605)wm666.taobao.com.topology.v0.json","datas/qa_and_png/P3_oda_output/攀枝花-青龙山I,II回,攀枝花-施家坪I,II回PLP02-22型保护柜端子排接线示意图(B066-500-2605)wm666.taobao.com.png",needs_intersection_split,
_P3_staging_batch4/005内泵房仪表内部接线图2,005内泵房仪表内部接线图2,val,P3,_P3_staging_batch4,ok,True,176,328,156,0.0455,0.8523,high_isolated_ratio,outputs/topology_graph/_P3_staging_batch4/005内泵房仪表内部接线图2.topology.v0.json,datas/qa_and_png/P3_oda_output/005内泵房仪表内部接线图2.png,bad_geometry,
_P3_staging_batch4/17-连片接线图,17-连片接线图,test,P3,_P3_staging_batch4,ok,True,111,207,97,0.0901,0.8378,high_isolated_ratio,outputs/topology_graph/_P3_staging_batch4/17-连片接线图.topology.v0.json,datas/qa_and_png/P3_oda_output/17-连片接线图.png,bad_geometry,
_P3_staging_batch4/24-连片接线图1,24-连片接线图1,train,P3,_P3_staging_batch4,ok,True,111,206,96,0.0991,0.8288,high_isolated_ratio,outputs/topology_graph/_P3_staging_batch4/24-连片接线图1.topology.v0.json,datas/qa_and_png/P3_oda_output/24-连片接线图1.png,bad_geometry,
_P3_staging_batch4/DXN8B-T接线图,DXN8B-T接线图,train,P3,_P3_staging_batch4,ok,False,0,0,0,0.0,0.0,no_edges;not_topology_ready,outputs/topology_graph/_P3_staging_batch4/DXN8B-T接线图.topology.v0.json,datas/qa_and_png/P3_oda_output/DXN8B-T接线图.png,bad_geometry,
